Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_002128.1	23965	24195	pO157	plus	hypothetical protein		2717075	protein-coding		NP_958721.1	76	ECp023
NC_002128.1	24316	25056	pO157	plus	recombinase		1789708	protein-coding		NP_052628.1	246	pO157p22
NC_002128.1	24745	25062	pO157	minus	hypothetical protein		1789668	protein-coding		NP_052629.1	105	pO157p23
NC_002128.1	25341	26318	pO157	minus	RepFIB	repFIB	1789691	protein-coding		NP_052630.2	325	pO157p24
NC_002128.1	26056	26385	pO157	plus	hypothetical protein		1789679	protein-coding		NP_052631.1	109	pO157p25
NC_002128.1	26726	26926	pO157	minus	hypothetical protein		2717076	protein-coding		NP_958722.1	66	ECp025.2n
NC_002128.1	26923	27543	pO157	minus	hypothetical protein		1789739	protein-coding		NP_052632.1	206	pO157p26
NC_002128.1	27540	28223	pO157	minus	KfrAs		1789712	protein-coding		NP_052633.1	227	pO157p27
NC_002128.1	28682	28900	pO157	plus	plasmid maintenance protein CcdA	letA	1789714	protein-coding		NP_052634.1	72	pO157p28
NC_002128.1	28902	29207	pO157	plus	plasmid maintenance protein CcdB	letB	1789728	protein-coding		NP_052635.1	101	pO157p29
NC_002128.1	29208	30014	pO157	plus	resolvase		1789694	protein-coding		NP_052636.1	268	pO157p30
NC_002128.1	30736	31949	pO157	minus	transposase		1789677	protein-coding		NP_052637.1	296	pO157p31
NC_002128.1	31623	31949	pO157	minus	hypothetical protein		3399562	protein-coding		NP_052638.1	108	pO157p83
NC_002128.1	32837	34003	pO157	plus	plasmid-partitioning protein SopA	sopA	1789690	protein-coding		NP_052640.1	388	pO157p33
NC_002128.1	34003	34974	pO157	plus	plasmid-partitioning protein	sopB	1789685	protein-coding		NP_052641.1	323	pO157p34
NC_002128.1	36274	37998	pO157	plus	reverse transcriptase		1789698	protein-coding		NP_052642.1	574	pO157p35
NC_002128.1	38075	38977	pO157	plus	hypothetical protein		1789718	protein-coding		NP_052643.1	300	pO157p36
NC_002128.1	38981	39286	pO157	plus	hypothetical protein		1789693	protein-coding		NP_052644.1	101	pO157p37
NC_002128.1	39363	40046	pO157	plus	putative methylase		1789670	protein-coding		NP_052645.1	227	pO157p38
NC_002128.1	40047	40268	pO157	plus	hypothetical protein		2717073	protein-coding		NP_958723.1	73	ECp042
NC_002128.1	40162	40716	pO157	plus	hypothetical protein		1789700	protein-coding		NP_052646.1	184	pO157p39
NC_002128.1	40762	41538	pO157	plus	hypothetical protein		1789709	protein-coding		NP_052647.1	258	pO157p40
NC_002128.1	41411	41983	pO157	plus	hypothetical protein		1789736	protein-coding		NP_052648.1	190	pO157p41
NC_002128.1	42079	42381	pO157	plus	hypothetical protein	klcA	1789678	protein-coding		NP_052649.1	100	pO157p42
NC_002128.1	42428	42850	pO157	plus	hypothetical protein		1789683	protein-coding		NP_052650.1	140	pO157p43
NC_002128.1	43157	43546	pO157	plus	hypothetical protein		1789726	protein-coding		NP_052651.1	129	pO157p44
NC_002128.1	44034	44264	pO157	plus	hypothetical protein		1789665	protein-coding		NP_052652.1	76	pO157p45
NC_002128.1	44316	45677	pO157	plus	hypothetical protein		1789741	protein-coding		NP_052653.1	453	pO157p46
NC_002128.1	45724	46287	pO157	plus	hypothetical protein		1789684	protein-coding		NP_052654.1	187	pO157p47
NC_002128.1	46373	46828	pO157	minus	hypothetical protein		1789721	protein-coding		NP_052655.1	151	pO157p48
NC_002128.1	47130	47582	pO157	plus	single-stranded DNA-binding protein	ssb	1789738	protein-coding		NP_052656.1	150	pO157p49
NC_002128.1	47639	47872	pO157	plus	hypothetical protein		2717072	protein-coding		NP_958724.1	77	ECp054
NC_002128.1	47938	49896	pO157	plus	hypothetical protein		1789702	protein-coding		NP_052657.1	652	pO157p50
NC_002128.1	49951	50385	pO157	plus	plasmid SOS inhibition protein B	psiB	1789688	protein-coding		NP_052658.1	144	pO157p51
NC_002128.1	50382	51143	pO157	plus	plasmid SOS inhibition protein A	psiA	1789722	protein-coding		NP_052659.1	253	pO157p52
NC_002128.1	51375	51533	pO157	plus	small toxic polypeptide	parB	1789673	protein-coding		NP_052660.1	52	pO157p53
NC_002128.1	51715	53688	pO157	plus	NikB	nikB	1789737	protein-coding		NP_052661.1	657	pO157p54
NC_002128.1	53756	54187	pO157	plus	hypothetical protein		1789666	protein-coding		NP_052662.1	143	pO157p55
NC_002128.1	54761	55120	pO157	minus	transposase Tra5		1789692	protein-coding		NP_052663.1	119	pO157p56
NC_002128.1	55302	55712	pO157	plus	transposase		1789710	protein-coding		NP_052664.1	136	pO157p57
NC_002128.1	55981	65490	pO157	plus	toxin B	toxB	1789667	protein-coding		NP_052665.1	3169	pO157p58
NC_002128.1	65582	65854	pO157	plus	transposase Tra5		1789744	protein-coding		NP_052666.1	90	pO157p59
NC_002128.1	65781	66284	pO157	minus	hypothetical protein	IS629	1789703	protein-coding		NP_052667.1	167	pO157p60
NC_002128.1	67749	68495	pO157	plus	conjugal transfer pilus acetylation protein TraX	traX	1789740	protein-coding		NP_052669.1	248	pO157p62
NC_002128.1	68554	69414	pO157	plus	hypothetical protein		1789674	protein-coding		NP_052670.1	286	pO157p63
NC_002128.1	69517	70077	pO157	plus	conjugal transfer fertility inhibition protein FinO	finO	1789697	protein-coding		NP_052671.1	186	pO157p64
NC_002128.1	70210	70422	pO157	plus	hypothetical protein		2717079	protein-coding		NP_958725.1	70	ECp070
NC_002128.1	70667	71128	pO157	plus	hypothetical protein		1789676	protein-coding		NP_052672.1	153	pO157p65
NC_002128.1	71174	71383	pO157	plus	hypothetical protein		2717074	protein-coding		NP_958726.1	69	ECp072
NC_002128.1	71421	71759	pO157	plus	hypothetical protein		1789675	protein-coding		NP_052673.1	112	pO157p66
NC_002128.1	71999	72253	pO157	plus	replication protein	repA2	1789682	protein-coding		NP_052674.1	84	pO157p67
NC_002128.1	72556	73413	pO157	plus	replication protein	repA1	1789669	protein-coding		NP_052675.1	285	pO157p68
NC_002128.1	74325	74609	pO157	plus	hypothetical protein		1789719	protein-coding		NP_052676.1	94	pO157p69
NC_002128.1	74609	74884	pO157	plus	hypothetical protein		1789745	protein-coding		NP_052677.1	91	pO157p70
NC_002128.1	74979	75185	pO157	plus	hypothetical protein		1789723	protein-coding		NP_052678.1	68	pO157p71
NC_002128.1	76062	76526	pO157	minus	transposase		1789699	protein-coding		NP_052681.1	154	pO157p74
NC_002128.1	79689	80576	pO157	plus	transposase		1789701	protein-coding		NP_052684.1	295	pO157p77
NC_002128.1	80757	84659	pO157	plus	EspP	espP	1789732	protein-coding		NP_052685.1	1300	pO157p78
NC_002128.1	85124	85396	pO157	minus	hypothetical protein		2717078	protein-coding		NP_958727.1	90	ECp088.2c
NC_002128.1	87222	87659	pO157	plus	hypothetical protein		1789680	protein-coding		NP_052686.1	145	pO157p79
NC_002128.1	87659	88765	pO157	plus	RfbU-like protein		1789671	protein-coding		NP_052687.1	368	pO157p80
NC_002128.1	88855	90576	pO157	plus	hypothetical protein		1789713	protein-coding		NP_052688.1	573	pO157p81
NC_002128.1	90650	91648	pO157	plus	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase		1789687	protein-coding		NP_052689.1	332	pO157p82
NC_002128.1	92527	2502	pO157	plus	ToxR-regulated lipoprotein	tagA	1789672	protein-coding		NP_052607.1	898	pO157p01
NC_002695.2	190	273		plus	thr operon leader peptide	thrL	913387	protein-coding		NP_308028.1	27	ECs_0001
NC_002695.2	354	2816		plus	aspartokinase I	thrA	913388	protein-coding		NP_308029.1	820	ECs_0002
NC_002695.2	2818	3750		plus	homoserine kinase	thrB	913390	protein-coding		NP_308030.1	310	ECs_0003
NC_002695.2	3751	5037		plus	L-threonine synthase	thrC	913393	protein-coding		NP_308031.1	428	ECs_0004
NC_002695.2	5251	5547		plus	hypothetical protein	yaaX	913394	protein-coding		NP_308032.1	98	ECs_0005
NC_002695.2	5700	6476		minus	peroxide resistance protein	yaaA	913395	protein-coding		NP_308033.1	258	ECs_0006
NC_002695.2	6546	7976		minus	amino acid carrier protein	yaaJ	913398	protein-coding		NP_308034.1	476	ECs_0007
NC_002695.2	8255	9208		plus	transaldolase B	talB	913400	protein-coding		NP_308035.1	317	ECs_0008
NC_002695.2	9323	9910		plus	molybdochelatase incorporating molybdenum into molybdopterin	mog	913401	protein-coding		NP_308036.1	195	ECs_0009
NC_002695.2	9945	10511		minus	succinate-acetate transporter	satP	913402	protein-coding		NP_308037.1	188	ECs_0010
NC_002695.2	10660	11373		minus	hypothetical protein	yaaW	913403	protein-coding		NP_308038.1	237	ECs_0012
NC_002695.2	11399	11803		minus	hypothetical protein	yaaI	913405	protein-coding		NP_308040.1	134	ECs_0013
NC_002695.2	12180	14096		plus	chaperone Hsp70	dnaK	913406	protein-coding		NP_308041.1	638	ECs_0014
NC_002695.2	14185	15315		plus	chaperone Hsp40	dnaJ	913407	protein-coding		NP_308042.1	376	ECs_0015
NC_002695.2	15419	15628		minus	regulatory protein MokC for HokC	mokC	913408	protein-coding		NP_308043.1	69	ECs_0016
NC_002695.2	16157	17323		plus	pH-dependent sodium/proton antiporter	nhaA	913409	protein-coding		NP_308044.1	388	ECs_0017
NC_002695.2	17389	18288		plus	transcriptional activator	nhaR	913410	protein-coding		NP_308045.2	299	ECs_0018
NC_002695.2	18326	19286		minus	uncharacterized gene		62675950	pseudogene				ECs_0019
NC_002695.2	19299	21749		minus	fimbrial assembly protein		913416	protein-coding		NP_308049.1	816	ECs_0022
NC_002695.2	21762	22445		minus	fimbrial chaperone		913417	protein-coding		NP_308050.1	227	ECs_0023
NC_002695.2	22495	23028		minus	fimbrial protein		913418	protein-coding		NP_308051.1	177	ECs_0024
NC_002695.2	23330	24751		minus	T3SS effector-like protein EspX	espX1	913419	protein-coding		NP_308052.1	473	ECs_0025
NC_002695.2	25221	25484		minus	30S ribosomal subunit protein S20	rpsT	913420	protein-coding		NP_308053.1	87	ECs_0026
NC_002695.2	25819	26760		plus	bifunctional riboflavin kinase/FAD synthetase	ribF	913423	protein-coding		NP_308055.1	313	ECs_0028
NC_002695.2	26803	29619		plus	isoleucyl-tRNA synthetase	ileS	913425	protein-coding		NP_308056.1	938	ECs_0029
NC_002695.2	29619	30113		plus	prolipoprotein signal peptidase	lspA	913426	protein-coding		NP_308057.1	164	ECs_0030
NC_002695.2	30201	30650		plus	FKBP-type peptidyl-prolyl cis-trans isomerase	fkpB	913427	protein-coding		NP_308058.1	149	ECs_0031
NC_002695.2	30652	31602		plus	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH	913428	protein-coding		NP_308059.1	316	ECs_0032
NC_002695.2	31668	32582		plus	ribonucleoside hydrolase 3	rihC	913429	protein-coding		NP_308060.1	304	ECs_0033
NC_002695.2	32749	33570		plus	dihydrodipicolinate reductase	dapB	913430	protein-coding		NP_308061.1	273	ECs_0034
NC_002695.2	34026	35174		plus	carbamoyl phosphate synthetase small subunit	carA	913431	protein-coding		NP_308062.1	382	ECs_0035
NC_002695.2	35192	38413		plus	carbamoyl-phosphate synthase large subunit	carB	913432	protein-coding		NP_308063.1	1073	ECs_0036
NC_002695.2	38421	38639		minus	hypothetical protein		62675951	protein-coding		YP_009502587.1	72	ECs_5362
NC_002695.2	38674	39069		plus	cai operon transcriptional activator	caiF	913433	protein-coding		NP_308064.2	131	ECs_0037
NC_002695.2	39188	39778		minus	carnitine operon protein CaiE	caiE	913434	protein-coding		NP_308065.2	196	ECs_0038
NC_002695.2	39784	40569		minus	carnitinyl-CoA dehydratase	caiD	913435	protein-coding		NP_308066.2	261	ECs_0039
NC_002695.2	40678	42231		minus	crotonobetaine/carnitine-CoA ligase	caiC	913437	protein-coding		NP_308067.2	517	ECs_0040
NC_002695.2	42305	43522		minus	crotonobetainyl CoA:carnitine CoA transferase	caiB	913438	protein-coding		NP_308068.1	405	ECs_0041
NC_002695.2	43651	44793		minus	crotonobetaine reductase subunit II	caiA	913439	protein-coding		NP_308069.1	380	ECs_0042
NC_002695.2	44824	46338		minus	transporter	caiT	913440	protein-coding		NP_308070.1	504	ECs_0043
NC_002695.2	46817	47587		plus	anaerobic carnitine reduction electron transfer flavoprotein subunit	fixA	913441	protein-coding		NP_308071.2	256	ECs_0044
NC_002695.2	47602	48543		plus	electron transfer flavoprotein FixB	fixB	913442	protein-coding		NP_308072.1	313	ECs_0045
NC_002695.2	48594	49880		plus	oxidoreductase	ydiS	913445	protein-coding		NP_308073.1	428	ECs_0046
NC_002695.2	49877	50164		plus	ferredoxin	fixX	913446	protein-coding		NP_308074.1	95	ECs_0047
NC_002695.2	50222	51553		plus	MFS sugar transporter	yaaU	913447	protein-coding		NP_308075.1	443	ECs_0048
NC_002695.2	51661	52191		plus	potassium transporter	kefF	913448	protein-coding		NP_308076.1	176	ECs_0049
NC_002695.2	52184	54046		plus	glutathione-regulated potassium-efflux system protein	kefC	913449	protein-coding		NP_308077.1	620	ECs_0050
NC_002695.2	54127	54717		plus	dihydrofolate reductase	folA	913450	protein-coding		NP_308078.2	196	ECs_0051
NC_002695.2	54803	55036		plus	CcdA-like protein		913451	protein-coding		NP_308079.1	77	ECs_0052
NC_002695.2	55039	55353		plus	CcdB-like protein		913452	protein-coding		NP_308080.1	104	ECs_0053
NC_002695.2	55350	56198		minus	diadenosine tetraphosphatase	apaH	913453	protein-coding		NP_308081.1	282	ECs_0054
NC_002695.2	56205	56582		minus	CO2+/MG2+ efflux protein ApaG	apaG	913454	protein-coding		NP_308082.1	125	ECs_0055
NC_002695.2	56585	57406		minus	ribosomal RNA small subunit methyltransferase A	rsmA	913455	protein-coding		NP_308083.1	273	ECs_0056
NC_002695.2	57403	58392		minus	4-hydroxy-L-threonine phosphate dehydrogenase	pdxA	913457	protein-coding		NP_308084.1	329	ECs_0057
NC_002695.2	58392	59678		minus	peptidyl-prolyl cis-trans isomerase	surA	913458	protein-coding		NP_308085.1	428	ECs_0058
NC_002695.2	59731	62085		minus	LPS assembly OM complex LptDE beta-barrel component	lptD	913459	protein-coding		NP_308086.1	784	ECs_0059
NC_002695.2	62340	63155		plus	membrane-anchored DnaK co-chaperone	djlA	913460	protein-coding		NP_308087.1	271	ECs_0060
NC_002695.2	63450	64202		plus	T3SS effector-like protein EspY	espY1	913461	protein-coding		NP_308088.1	250	ECs_0061
NC_002695.2	64620	65279		minus	23S rRNA/tRNA pseudouridine synthase A	rluA	913462	protein-coding		NP_308089.1	219	ECs_0062
NC_002695.2	65291	68197		minus	RNA polymerase remodeling/recycling factor ATPase	rapA	913463	protein-coding		NP_308090.1	968	ECs_0063
NC_002695.2	68361	70712		minus	DNA polymerase II	polB	913464	protein-coding		NP_308091.1	783	ECs_0064
NC_002695.2	70787	71482		minus	L-ribulose-5-phosphate 4-epimerase	araD	913465	protein-coding		NP_308092.1	231	ECs_0065
NC_002695.2	71682	73184		minus	L-arabinose isomerase	araA	913468	protein-coding		NP_308093.1	500	ECs_0066
NC_002695.2	73195	74895		minus	L-ribulokinase	araB	913471	protein-coding		NP_308094.1	566	ECs_0067
NC_002695.2	75234	76112		plus	ara regulon transcriptional activator	araC	913473	protein-coding		NP_308095.1	292	ECs_0068
NC_002695.2	76198	76962		plus	DedA family inner membrane protein	yabI	913477	protein-coding		NP_308096.1	254	ECs_0069
NC_002695.2	77049	77747		minus	thiamine/thiamine pyrophosphate ABC transporter ATPase	thiQ	913478	protein-coding		NP_308097.1	232	ECs_0070
NC_002695.2	77731	79341		minus	thiamine transport system permease	thiP	913479	protein-coding		NP_308098.1	536	ECs_0071
NC_002695.2	79317	80300		minus	thiamine/thiamine pyrophosphate/thiamine monophosphate ABC transporter periplasmic binding protein	thiB	913490	protein-coding		NP_308099.1	327	ECs_0072
NC_002695.2	80672	81241		plus	T3SS effector-like protein EspY	espY2	913497	protein-coding		NP_308100.1	189	ECs_0073
NC_002695.2	81470	83128		minus	transcriptional activator	sgrR	913502	protein-coding		NP_308101.1	552	ECs_0074
NC_002695.2	83456	84061		minus	3-isopropylmalate dehydratase small subunit	leuD	913503	protein-coding		NP_308102.1	201	ECs_0075
NC_002695.2	84072	85472		minus	3-isopropylmalate dehydratase large subunit	leuC	913504	protein-coding		NP_308103.1	466	ECs_0076
NC_002695.2	85475	86566		minus	3-isopropylmalate dehydrogenase	leuB	913510	protein-coding		NP_308104.2	363	ECs_0077
NC_002695.2	86566	88137		minus	2-isopropylmalate synthase	leuA	913513	protein-coding		NP_308105.1	523	ECs_0078
NC_002695.2	88230	88316		minus	leu operon leader peptide	leuL	913517	protein-coding		NP_308106.1	28	ECs_0079
NC_002695.2	88974	89918		plus	DNA-binding transcriptional activator LeuO	leuO	913520	protein-coding		NP_308107.3	314	ECs_0080
NC_002695.2	90236	91960		plus	acetolactate synthase 3 large subunit	ilvI	913521	protein-coding		NP_308108.2	574	ECs_0081
NC_002695.2	91963	92454		plus	acetolactate synthase 3 small subunit	ilvH	913523	protein-coding		NP_308109.1	163	ECs_0082
NC_002695.2	92466	92552		plus	fruR leader peptide	fruR	913524	protein-coding		NP_308110.1	28	ECs_0083
NC_002695.2	92634	93638		plus	DNA-binding transcriptional dual regulator FruR	fruR	913527	protein-coding		NP_308111.1	334	ECs_0084
NC_002695.2	94240	94698		plus	RsmH methyltransferase inhibitor	mraZ	913528	protein-coding		NP_308112.1	152	ECs_0085
NC_002695.2	94700	95641		plus	16S rRNA m(4)C1402 methyltransferase	rsmH	913531	protein-coding		NP_308113.1	313	ECs_0086
NC_002695.2	95638	96003		plus	membrane bound cell division leucine zipper septum protein	ftsL	913534	protein-coding		NP_308114.1	121	ECs_0087
NC_002695.2	96019	97785		plus	cell division protein FtsI	ftsI	913535	protein-coding		NP_308115.1	588	ECs_0088
NC_002695.2	97772	99259		plus	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	murE	913536	protein-coding		NP_308116.1	495	ECs_0089
NC_002695.2	99256	100614		plus	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	murF	913537	protein-coding		NP_308117.1	452	ECs_0090
NC_002695.2	100608	101690		plus	phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY	913542	protein-coding		NP_308118.1	360	ECs_0091
NC_002695.2	101693	103009		plus	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	murD	913546	protein-coding		NP_308119.1	438	ECs_0092
NC_002695.2	103009	104253		plus	lipid II flippase FtsW	ftsW	913549	protein-coding		NP_308120.1	414	ECs_0093
NC_002695.2	104250	105317		plus	N-acetylglucosaminyl transferase	murG	913552	protein-coding		NP_308121.1	355	ECs_0094
NC_002695.2	105371	106846		plus	UDP-N-acetylmuramate:L-alanine ligase	murC	913555	protein-coding		NP_308122.1	491	ECs_0095
NC_002695.2	106839	107759		plus	D-alanine:D-alanine ligase	ddlB	913558	protein-coding		NP_308123.1	306	ECs_0096
NC_002695.2	107761	108591		plus	cell division protein FtsQ	ftsQ	913560	protein-coding		NP_308124.1	276	ECs_0097
NC_002695.2	108588	109850		plus	cell division protein FtsA	ftsA	913567	protein-coding		NP_308125.1	420	ECs_0098
NC_002695.2	109911	111062		plus	GTP-binding tubulin-like cell division protein FtsZ	ftsZ	913575	protein-coding		NP_308126.1	383	ECs_0099
NC_002695.2	111163	112080		plus	UDP-3-O-acyl N-acetylglucosamine deacetylase	lpxC	913579	protein-coding		NP_308127.1	305	ECs_0100
NC_002695.2	112311	112823		plus	SecA regulator SecM	secM	913588	protein-coding		NP_308128.2	170	ECs_0101
NC_002695.2	112885	115590		plus	preprotein translocase subunit	secA	913599	protein-coding		NP_308129.1	901	ECs_0102
NC_002695.2	115650	116048		plus	dGTP-preferring nucleoside triphosphate pyrophosphohydrolase	mutT	913600	protein-coding		NP_308130.1	132	ECs_0103
NC_002695.2	116139	116336		minus	DNA gyrase inhibitor	yacG	913611	protein-coding		NP_308132.1	65	ECs_0105
NC_002695.2	116346	117089		minus	cell division protein ZapD	zapD	913614	protein-coding		NP_308133.1	247	ECs_0106
NC_002695.2	117089	117709		minus	dephospho-CoA kinase	coaE	913615	protein-coding		NP_308134.1	206	ECs_0107
NC_002695.2	117934	118977		plus	GMP reductase	guaC	913617	protein-coding		NP_308135.1	347	ECs_0108
NC_002695.2	119012	120214		minus	assembly protein in type IV pilin biogenesis transmembrane protein	hofC	913621	protein-coding		NP_308137.1	400	ECs_0110
NC_002695.2	120204	121589		minus	type II secretion system protein HofB	hofB	913626	protein-coding		NP_308138.1	461	ECs_0111
NC_002695.2	121599	122039		minus	prepilin peptidase-dependent pilin	ppdD	913629	protein-coding		NP_308139.1	146	ECs_0112
NC_002695.2	122242	123135		minus	quinolinate phosphoribosyltransferase	nadC	913630	protein-coding		NP_308140.1	297	ECs_0113
NC_002695.2	123223	123774		plus	1,6-anhydro-N-acetylmuramyl-L-alanine amidase	ampD	913635	protein-coding		NP_308141.1	183	ECs_0114
NC_002695.2	123771	124625		plus	ampicillin resistance inner membrane protein AmpE	ampE	913637	protein-coding		NP_308142.1	284	ECs_0115
NC_002695.2	124668	126038		minus	phenylalanine transporter	aroP	913640	protein-coding		NP_308143.2	456	ECs_0116
NC_002695.2	126582	127346		plus	pyruvate dehydrogenase complex repressor	pdhR	913643	protein-coding		NP_308144.1	254	ECs_0117
NC_002695.2	127507	130170		plus	pyruvate dehydrogenase	aceE	913657	protein-coding		NP_308145.1	887	ECs_0118
NC_002695.2	130185	132077		plus	pyruvate dehydrogenase	aceF	913659	protein-coding		NP_308146.1	630	ECs_0119
NC_002695.2	132285	133709		plus	dihydrolipoyl dehydrogenase	lpd	913660	protein-coding		NP_308147.1	474	ECs_0120
NC_002695.2	133780	135633		minus	hypothetical protein	yacH	913666	protein-coding		NP_308148.1	617	ECs_0121
NC_002695.2	135988	138585		plus	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	acnB	913670	protein-coding		NP_308149.1	865	ECs_0122
NC_002695.2	138761	139123		plus	hypothetical protein	yacL	913686	protein-coding		NP_308150.2	120	ECs_0123
NC_002695.2	139161	139955		minus	S-adenosylmethionine decarboxylase	speD	913693	protein-coding		NP_308151.1	264	ECs_0124
NC_002695.2	139971	140837		minus	spermidine synthase	speE	913703	protein-coding		NP_308152.1	288	ECs_0125
NC_002695.2	140943	141251		minus	hypothetical protein	yacC	913704	protein-coding		NP_308153.3	102	ECs_0126
NC_002695.2	141456	143006		plus	multicopper oxidase	cueO	913706	protein-coding		NP_308154.1	516	ECs_0127
NC_002695.2	143208	145598		minus	glucose dehydrogenase	gcd	913709	protein-coding		NP_308155.1	796	ECs_0128
NC_002695.2	145804	146340		plus	hypoxanthine phosphoribosyltransferase	hpt	913711	protein-coding		NP_308156.2	178	ECs_0129
NC_002695.2	146381	147043		minus	carbonic anhydrase	can	913712	protein-coding		NP_308157.1	220	ECs_0130
NC_002695.2	147152	148078		plus	ABC transporter ATPase	yadG	913713	protein-coding		NP_308158.1	308	ECs_0131
NC_002695.2	148075	148845		plus	ABC transporter permease	yadH	913717	protein-coding		NP_308159.1	256	ECs_0132
NC_002695.2	148950	149390		plus	PTS Enzyme IIA	yadI	913720	protein-coding		NP_308160.1	146	ECs_0133
NC_002695.2	149454	150683		plus	polysaccharide deacetylase lipoprotein	yadE	913723	protein-coding		NP_308161.1	409	ECs_0134
NC_002695.2	150687	151067		minus	aspartate 1-decarboxylase	panD	913727	protein-coding		NP_308162.1	126	ECs_0135
NC_002695.2	151341	152237		plus	hypothetical protein	yadD	913728	protein-coding		NP_308163.1	298	ECs_0136
NC_002695.2	152536	153387		minus	pantothenate synthetase	panC	913734	protein-coding		NP_308164.1	283	ECs_0137
NC_002695.2	153399	154193		minus	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	913736	protein-coding		NP_308165.1	264	ECs_0138
NC_002695.2	154328	155437		minus	fimbrial protein	yadC	913739	protein-coding		NP_308166.1	369	ECs_0139
NC_002695.2	155449	156039		minus	fimbrial protein	yadK	913740	protein-coding		NP_308167.1	196	ECs_0140
NC_002695.2	156060	156665		minus	fimbrial protein	yadL	913742	protein-coding		NP_308168.1	201	ECs_0141
NC_002695.2	156680	157228		minus	fimbrial protein	yadM	913744	protein-coding		NP_308169.2	182	ECs_0142
NC_002695.2	157242	159842		minus	outer membrane usher protein	htrE	913748	protein-coding		NP_308170.1	866	ECs_0143
NC_002695.2	159884	160609		minus	periplasmic pilin chaperone	yadV	913756	protein-coding		NP_308171.1	241	ECs_0144
NC_002695.2	160696	161292		minus	fimbrial protein	yadN	913761	protein-coding		NP_308172.1	198	ECs_0145
NC_002695.2	161573	162055		minus	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	folK	913762	protein-coding		NP_308173.1	160	ECs_0146
NC_002695.2	162052	163449		minus	poly(A) polymerase	pcnB	913763	protein-coding		NP_308174.3	465	ECs_0147
