Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_CP023154.1	51796	52860		minus	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	ribD	41711849	protein-coding		WP_011011174.1	354	PFDSM3638_RS00235
NZ_CP023154.1	52850	53323		minus	6,7-dimethyl-8-ribityllumazine synthase	ribH	41711850	protein-coding		WP_011011175.1	157	PFDSM3638_RS00240
NZ_CP023154.1	53320	54483		minus	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II		41711851	protein-coding		WP_014835483.1	387	PFDSM3638_RS00245
NZ_CP023154.1	54600	55232		plus	hypothetical protein		41711852	protein-coding		WP_011011177.1	210	PFDSM3638_RS00250
NZ_CP023154.1	55186	55917		minus	energy-coupling factor transporter transmembrane component T		41711853	protein-coding		WP_014835482.1	243	PFDSM3638_RS00255
NZ_CP023154.1	55914	56696		minus	ABC transporter ATP-binding protein		41711854	protein-coding		WP_011011180.1	260	PFDSM3638_RS00260
NZ_CP023154.1	56754	57455		minus	IS6-like element ISPfu2 family transposase		41711855	protein-coding		WP_011011181.1	233	PFDSM3638_RS00265
NZ_CP023154.1	57633	58535		plus	coiled-coil protein		41711856	protein-coding		WP_011011182.1	300	PFDSM3638_RS00270
NZ_CP023154.1	58541	60253		plus	archaeosine synthase subunit alpha	arcS	41711857	protein-coding		WP_011011183.1	570	PFDSM3638_RS00275
NZ_CP023154.1	60250	61362		minus	hypothetical protein		41711858	protein-coding		WP_223208990.1	370	PFDSM3638_RS00280
NZ_CP023154.1	61421	61498		minus	tRNA-Gly		41711859	tRNA				PFDSM3638_RS00285
NZ_CP023154.1	61506	61582		minus	tRNA-Phe		41711860	tRNA				PFDSM3638_RS00290
NZ_CP023154.1	61780	63198		minus	beta-galactosidase BgaS	bgaS	41711861	protein-coding		WP_011011185.1	472	PFDSM3638_RS00295
NZ_CP023154.1	63374	64078		plus	SDR family oxidoreductase		41711862	protein-coding		WP_014835480.1	234	PFDSM3638_RS00300
NZ_CP023154.1	64089	65261		plus	iron-containing alcohol dehydrogenase		41711863	protein-coding		WP_011011187.1	390	PFDSM3638_RS00305
NZ_CP023154.1	65274	66167		plus	glycoside hydrolase family 16 protein		41711864	protein-coding		WP_011011188.1	297	PFDSM3638_RS00310
NZ_CP023154.1	66209	66916		plus	biotin--[acetyl-CoA-carboxylase] ligase		41711865	protein-coding		WP_011011189.1	235	PFDSM3638_RS00315
NZ_CP023154.1	66899	67807		minus	2-phosphoglycerate kinase		41711866	protein-coding		WP_011011190.1	302	PFDSM3638_RS00320
NZ_CP023154.1	67791	69083		minus	2,3-phosphoglycerate synthetase		41711867	protein-coding		WP_014835479.1	430	PFDSM3638_RS00325
NZ_CP023154.1	69225	70244		plus	tungstate ABC transporter substrate-binding protein WtpA	wtpA	41711868	protein-coding		WP_014835478.1	339	PFDSM3638_RS00330
NZ_CP023154.1	70317	71066		plus	tungstate ABC transporter permease WtpB	wtpB	41711869	protein-coding		WP_014835477.1	249	PFDSM3638_RS00335
NZ_CP023154.1	71059	72093		plus	tungstate ABC transporter ATP-binding protein WtpC	wtpC	41711870	protein-coding		WP_011011194.1	344	PFDSM3638_RS00340
NZ_CP023154.1	72090	72641		minus	RNA 2'-phosphotransferase		41711871	protein-coding		WP_011011195.1	183	PFDSM3638_RS00345
NZ_CP023154.1	72625	76692		minus	bifunctional RecB family nuclease/DEAD/DEAH box helicase		41711872	protein-coding		WP_081481785.1	1355	PFDSM3638_RS00350
NZ_CP023154.1	76697	77341		minus	alanyl-tRNA editing protein		41711873	protein-coding		WP_011011198.1	214	PFDSM3638_RS00355
NZ_CP023154.1	77397	77807		plus	CBS domain-containing protein		41711874	protein-coding		WP_014835475.1	136	PFDSM3638_RS00360
NZ_CP023154.1	77814	79319		plus	metallophosphoesterase		41711875	protein-coding		WP_011011200.1	501	PFDSM3638_RS00365
NZ_CP023154.1	79324	80325		plus	class I SAM-dependent methyltransferase family protein		41711876	protein-coding		WP_011011201.1	333	PFDSM3638_RS00370
NZ_CP023154.1	80384	81307		plus	GTP 3',8-cyclase MoaA	moaA	41711877	protein-coding		WP_011011202.1	307	PFDSM3638_RS00375
NZ_CP023154.1	81355	82176		plus	DUF835 domain-containing protein		41711878	protein-coding		WP_011011203.1	273	PFDSM3638_RS00380
NZ_CP023154.1	82177	83616		minus	replication factor C large subunit		41711879	protein-coding		WP_011011204.1	479	PFDSM3638_RS00385
NZ_CP023154.1	83623	86181		minus	replication factor C small subunit		41711880	protein-coding		WP_011011205.1	852	PFDSM3638_RS00390
NZ_CP023154.1	86276	86956		minus	thioredoxin family protein		41711881	protein-coding		WP_011011206.1	226	PFDSM3638_RS00395
NZ_CP023154.1	87089	87787		plus	transcriptional regulator SurR	surR	41711882	protein-coding		WP_014835474.1	232	PFDSM3638_RS00400
NZ_CP023154.1	87774	87965		plus	4Fe-4S binding protein		41711883	protein-coding		WP_014835473.1	63	PFDSM3638_RS00405
NZ_CP023154.1	87962	89143		plus	NAD(P)/FAD-dependent oxidoreductase		41711884	protein-coding		WP_011011209.1	393	PFDSM3638_RS00410
NZ_CP023154.1	89127	89900		minus	NAD+ synthase		41711885	protein-coding		WP_011011210.1	257	PFDSM3638_RS00415
NZ_CP023154.1	89897	90847		minus	tetratricopeptide repeat protein		41711886	protein-coding		WP_011011211.1	316	PFDSM3638_RS00420
NZ_CP023154.1	90902	91339		plus	molybdenum cofactor biosynthesis protein MoaE		41711887	protein-coding		WP_011011212.1	145	PFDSM3638_RS00425
NZ_CP023154.1	91433	92347		plus	radical SAM protein		41711888	protein-coding		WP_014835472.1	304	PFDSM3638_RS00430
NZ_CP023154.1	92479	93225		plus	ATPase domain-containing protein		41711889	protein-coding		WP_011011214.1	248	PFDSM3638_RS00435
NZ_CP023154.1	93235	93720		plus	RAD55 family ATPase		80427276	protein-coding		WP_011011215.1	161	PFDSM3638_RS10825
NZ_CP023154.1	93701	94000		plus	ATPase domain-containing protein		80427277	protein-coding		WP_011011216.1	99	PFDSM3638_RS10830
NZ_CP023154.1	94040	95194		plus	hypothetical protein		41711891	protein-coding		WP_011011217.1	384	PFDSM3638_RS00445
NZ_CP023154.1	95173	96294		plus	tripartite tricarboxylate transporter permease		41711892	protein-coding		WP_011011218.1	373	PFDSM3638_RS00450
NZ_CP023154.1	96327	96914		plus	hypothetical protein		41711893	protein-coding		WP_011011219.1	195	PFDSM3638_RS00455
NZ_CP023154.1	96901	97470		plus	aldolase		41711894	protein-coding		WP_011011220.1	189	PFDSM3638_RS00460
NZ_CP023154.1	97476	97799		plus	RNase P RNA component	rnpB	41711895	RNase_P_RNA				PFDSM3638_RS00465
NZ_CP023154.1	97800	98645		minus	EamA family transporter		41711896	protein-coding		WP_011011221.1	281	PFDSM3638_RS00470
NZ_CP023154.1	98638	99681		minus	DNA primase catalytic subunit PriS	priS	41711897	protein-coding		WP_011011222.1	347	PFDSM3638_RS00475
NZ_CP023154.1	99632	100822		minus	DNA primase large subunit PriL	priL	41711898	protein-coding		WP_014835470.1	396	PFDSM3638_RS00480
NZ_CP023154.1	100872	101936		plus	Clp1/GlmU family protein		41711899	protein-coding		WP_011011224.1	354	PFDSM3638_RS00485
NZ_CP023154.1	101999	102466		plus	Lrp/AsnC family transcriptional regulator		41711900	protein-coding		WP_011011225.1	155	PFDSM3638_RS00490
NZ_CP023154.1	102438	103010		minus	GTP-binding protein EngB	engB	41711901	protein-coding		WP_011011226.1	190	PFDSM3638_RS00495
NZ_CP023154.1	103073	104263		minus	proteasome-activating nucleotidase		41711902	protein-coding		WP_011011227.1	396	PFDSM3638_RS00500
NZ_CP023154.1	104347	105441		minus	ABC transporter ATP-binding protein		41711903	protein-coding		WP_011011228.1	364	PFDSM3638_RS00505
NZ_CP023154.1	105453	106322		minus	carbohydrate ABC transporter permease		41711904	protein-coding		WP_011011229.1	289	PFDSM3638_RS00510
NZ_CP023154.1	106319	107266		minus	sugar ABC transporter permease		41711905	protein-coding		WP_011011230.1	315	PFDSM3638_RS00515
NZ_CP023154.1	107267	108892		minus	extracellular solute-binding protein		41711906	protein-coding		WP_011011231.1	541	PFDSM3638_RS00520
NZ_CP023154.1	109266	109427		plus	hypothetical protein		54853106	protein-coding		WP_014835468.1	53	PFDSM3638_RS10545
NZ_CP023154.1	109424	110422		plus	transposase		41711907	protein-coding		WP_014835467.1	332	PFDSM3638_RS00525
NZ_CP023154.1	110433	111674		minus	PLP-dependent aminotransferase family protein		41711908	protein-coding		WP_011011233.1	413	PFDSM3638_RS00530
NZ_CP023154.1	111985	112950		minus	ribose 1,5-bisphosphate isomerase		41711909	protein-coding		WP_014835466.1	321	PFDSM3638_RS00535
NZ_CP023154.1	112947	113345		minus	UPF0146 family protein		41711910	protein-coding		WP_011011235.1	132	PFDSM3638_RS00540
NZ_CP023154.1	113463	114488		plus	HTH-type sugar sensing transcriptional regulator TrmBL1	trmBL1	41711911	protein-coding		WP_011011236.1	341	PFDSM3638_RS00545
NZ_CP023154.1	114472	114705		minus	PRC-barrel domain-containing protein		41711912	protein-coding		WP_011011237.1	77	PFDSM3638_RS00550
NZ_CP023154.1	114817	116151		plus	DEAD/DEAH box helicase		41711913	protein-coding		WP_011011238.1	444	PFDSM3638_RS00555
NZ_CP023154.1	116139	116984		minus	polyamine aminopropyltransferase	speE	41711914	protein-coding		WP_011011239.1	281	PFDSM3638_RS00560
NZ_CP023154.1	117071	118270		plus	AAA family ATPase		41711915	protein-coding		WP_011011240.1	399	PFDSM3638_RS00565
NZ_CP023154.1	118267	118779		plus	metal-dependent hydrolase		41711916	protein-coding		WP_011011241.1	170	PFDSM3638_RS00570
NZ_CP023154.1	118766	119374		minus	MarC family protein		41711917	protein-coding		WP_014835465.1	202	PFDSM3638_RS00575
NZ_CP023154.1	119427	120338		plus	LEA type 2 family protein		41711918	protein-coding		WP_014835464.1	303	PFDSM3638_RS00580
NZ_CP023154.1	120687	122183		plus	16S ribosomal RNA		41711919	rRNA				PFDSM3638_RS00585
NZ_CP023154.1	122243	122320		plus	tRNA-Ala		41711920	tRNA				PFDSM3638_RS00590
NZ_CP023154.1	122443	125493		plus	23S ribosomal RNA		41711921	rRNA				PFDSM3638_RS00595
NZ_CP023154.1	125612	127072		plus	DUF2139 domain-containing protein		41711922	protein-coding		WP_048192932.1	486	PFDSM3638_RS00600
NZ_CP023154.1	127078	127644		plus	DUF366 family protein		41711923	protein-coding		WP_014835462.1	188	PFDSM3638_RS00605
NZ_CP023154.1	127638	128246		minus	membrane protein		41711924	protein-coding		WP_011011247.1	202	PFDSM3638_RS00610
NZ_CP023154.1	128361	129932		plus	lysine--tRNA ligase	lysS	41711925	protein-coding		WP_011011248.1	523	PFDSM3638_RS00615
NZ_CP023154.1	129938	130840		plus	hypothetical protein		41711926	protein-coding		WP_011011249.1	300	PFDSM3638_RS00620
NZ_CP023154.1	130811	131497		minus	class I SAM-dependent methyltransferase		41711927	protein-coding		WP_011011250.1	228	PFDSM3638_RS00625
NZ_CP023154.1	131564	132535		plus	DUF835 domain-containing protein		41711928	protein-coding		WP_011011251.1	323	PFDSM3638_RS00630
NZ_CP023154.1	132606	133205		plus	indolepyruvate oxidoreductase subunit beta		41711929	protein-coding		WP_011011252.1	199	PFDSM3638_RS00635
NZ_CP023154.1	133180	134343		minus	MFS transporter		41711930	protein-coding		WP_011011253.1	387	PFDSM3638_RS00640
NZ_CP023154.1	134432	135349		plus	phosphate uptake regulator PhoU		41711931	protein-coding		WP_011011254.1	305	PFDSM3638_RS00645
NZ_CP023154.1	135402	136322		plus	isoaspartyl peptidase/L-asparaginase family protein		41711932	protein-coding		WP_011011255.1	306	PFDSM3638_RS00650
NZ_CP023154.1	136322	137485		plus	MFS transporter		41711933	protein-coding		WP_011011256.1	387	PFDSM3638_RS00655
NZ_CP023154.1	137475	138404		plus	radical SAM protein		41711934	protein-coding		WP_011011257.1	309	PFDSM3638_RS00660
NZ_CP023154.1	138406	139020		plus	tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO	tsaA	41711935	protein-coding		WP_011011258.1	204	PFDSM3638_RS00665
NZ_CP023154.1	139017	139607		minus	potassium channel family protein		41711936	protein-coding		WP_011011259.1	196	PFDSM3638_RS00670
NZ_CP023154.1	139594	140211		minus	potassium channel family protein		41711937	protein-coding		WP_011011260.1	205	PFDSM3638_RS00675
NZ_CP023154.1	140403	140975		minus	DUF998 domain-containing protein		41711938	protein-coding		WP_011011261.1	190	PFDSM3638_RS00680
NZ_CP023154.1	140990	141781		minus	SDR family oxidoreductase		41711939	protein-coding		WP_011011262.1	263	PFDSM3638_RS00685
NZ_CP023154.1	141846	142460		plus	hypothetical protein		41711940	protein-coding		WP_011011263.1	204	PFDSM3638_RS00690
NZ_CP023154.1	142457	143248		plus	hypothetical protein		41711941	protein-coding		WP_011011264.1	263	PFDSM3638_RS00695
NZ_CP023154.1	143245	143904		minus	TIGR00266 family protein		41711942	protein-coding		WP_011011265.1	219	PFDSM3638_RS00700
NZ_CP023154.1	143940	144644		minus	phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC	41711943	protein-coding		WP_011011266.1	234	PFDSM3638_RS00705
NZ_CP023154.1	144736	146064		plus	amidophosphoribosyltransferase	purF	41711944	protein-coding		WP_048059071.1	442	PFDSM3638_RS00710
NZ_CP023154.1	146234	147538		minus	asparagine--tRNA ligase	asnS	41711945	protein-coding		WP_014835459.1	434	PFDSM3638_RS00715
NZ_CP023154.1	147816	147873		plus	C/D box small nucleolar RNA		41711946	snoRNA				PFDSM3638_RS00720
NZ_CP023154.1	147959	148612		minus	uncharacterized gene		89846303	pseudogene				PFDSM3638_RS10885
NZ_CP023154.1	148575	148712		plus	hypothetical protein		71770841	protein-coding		WP_223208992.1	45	PFDSM3638_RS10660
NZ_CP023154.1	148769	150748		minus	uncharacterized gene		41711947	pseudogene				PFDSM3638_RS00725
NZ_CP023154.1	150764	152560		minus	glutamine--fructose-6-phosphate transaminase (isomerizing)	glmS	41711948	protein-coding		WP_011011270.1	598	PFDSM3638_RS00730
NZ_CP023154.1	152638	153687		minus	hypothetical protein		41711949	protein-coding		WP_011011271.1	349	PFDSM3638_RS00735
NZ_CP023154.1	153684	154274		minus	archaeal proteasome endopeptidase complex subunit beta	psmB	41711950	protein-coding		WP_011011272.1	196	PFDSM3638_RS00740
NZ_CP023154.1	154349	155722		plus	TldD/PmbA family protein		41711951	protein-coding		WP_011011273.1	457	PFDSM3638_RS00745
NZ_CP023154.1	155719	156981		plus	TldD/PmbA family protein		41711952	protein-coding		WP_011011274.1	420	PFDSM3638_RS00750
NZ_CP023154.1	157032	157598		plus	DUF257 family protein		41711953	protein-coding		WP_011011275.1	188	PFDSM3638_RS00755
NZ_CP023154.1	157601	158212		minus	ECF transporter S component		41711954	protein-coding		WP_237718477.1	203	PFDSM3638_RS00760
NZ_CP023154.1	158310	159515		plus	cysteine desulfurase		41711955	protein-coding		WP_011011277.1	401	PFDSM3638_RS00765
NZ_CP023154.1	159499	160191		minus	HAD family hydrolase		41711956	protein-coding		WP_011011278.1	230	PFDSM3638_RS00770
NZ_CP023154.1	160188	160703		minus	TIGR00725 family protein		41711957	protein-coding		WP_014835457.1	171	PFDSM3638_RS00775
NZ_CP023154.1	160703	161836		minus	site-2 protease family protein		41711958	protein-coding		WP_014835456.1	377	PFDSM3638_RS00780
NZ_CP023154.1	161904	162407		plus	DUF3201 domain-containing protein		41711959	protein-coding		WP_011011281.1	167	PFDSM3638_RS00785
NZ_CP023154.1	162404	163564		plus	RsmB/NOP family class I SAM-dependent RNA methyltransferase		41711960	protein-coding		WP_011011282.1	386	PFDSM3638_RS00790
NZ_CP023154.1	163561	164559		plus	lysylphosphatidylglycerol synthase transmembrane domain-containing protein		41711961	protein-coding		WP_011011283.1	332	PFDSM3638_RS00795
NZ_CP023154.1	164556	165071		minus	DUF835 domain-containing protein		41711962	protein-coding		WP_011011284.1	171	PFDSM3638_RS00800
NZ_CP023154.1	165118	165285		minus	hypothetical protein		54853107	protein-coding		WP_158295408.1	55	PFDSM3638_RS10550
NZ_CP023154.1	165279	166253		minus	bifunctional N(6)-L-threonylcarbamoyladenine synthase/serine/threonine protein kinase		41711963	protein-coding		WP_011011285.1	324	PFDSM3638_RS00805
NZ_CP023154.1	166404	167243		plus	protein translocase subunit SecF		41711964	protein-coding		WP_237718498.1	279	PFDSM3638_RS00810
NZ_CP023154.1	167240	168757		plus	preprotein translocase subunit SecD		41711965	protein-coding		WP_011011287.1	505	PFDSM3638_RS00815
NZ_CP023154.1	168763	169455		plus	TrkA family potassium uptake protein		41711966	protein-coding		WP_011011288.1	230	PFDSM3638_RS00820
NZ_CP023154.1	169548	169859		plus	V-type ATP synthase subunit H		41711967	protein-coding		WP_014835454.1	103	PFDSM3638_RS00825
NZ_CP023154.1	169861	171852		plus	V-type ATP synthase subunit I		41711968	protein-coding		WP_011011290.1	663	PFDSM3638_RS00830
NZ_CP023154.1	171854	172333		plus	V-type ATP synthase subunit K		41711969	protein-coding		WP_011011291.1	159	PFDSM3638_RS00835
NZ_CP023154.1	172368	172964		plus	V-type ATP synthase subunit E		41711970	protein-coding		WP_014835453.1	198	PFDSM3638_RS00840
NZ_CP023154.1	172971	174083		plus	V-type ATP synthase subunit C		41711971	protein-coding		WP_011011293.1	370	PFDSM3638_RS00845
NZ_CP023154.1	174080	174391		plus	V-type ATP synthase subunit F		41711972	protein-coding		WP_011011294.1	103	PFDSM3638_RS00850
NZ_CP023154.1	174398	177439		plus	V-type ATP synthase subunit A		41711973	protein-coding		WP_011011295.1	1013	PFDSM3638_RS00855
NZ_CP023154.1	177445	178833		plus	ATP synthase subunit B		41711974	protein-coding		WP_011011296.1	462	PFDSM3638_RS00860
NZ_CP023154.1	178864	179508		plus	V-type ATP synthase subunit D		41711975	protein-coding		WP_011011297.1	214	PFDSM3638_RS00865
NZ_CP023154.1	179540	180754		plus	DHHA1 domain-containing protein		41711976	protein-coding		WP_011011298.1	404	PFDSM3638_RS00870
NZ_CP023154.1	180729	181556		minus	7-cyano-7-deazaguanine synthase		41711977	protein-coding		WP_011011299.1	275	PFDSM3638_RS00875
NZ_CP023154.1	181622	182530		minus	radical SAM protein		41711978	protein-coding		WP_011011300.1	302	PFDSM3638_RS00880
NZ_CP023154.1	182541	183284		minus	dihydroorotate dehydrogenase electron transfer subunit		41711979	protein-coding		WP_011011301.1	247	PFDSM3638_RS00885
NZ_CP023154.1	183232	184476		minus	dihydroorotase		41711980	protein-coding		WP_014835451.1	414	PFDSM3638_RS00890
NZ_CP023154.1	184789	187278		plus	ABC transporter substrate-binding protein		41711981	protein-coding		WP_011011303.1	829	PFDSM3638_RS00895
NZ_CP023154.1	187466	188515		plus	ABC transporter permease		41711982	protein-coding		WP_011011304.1	349	PFDSM3638_RS00900
NZ_CP023154.1	188526	189950		plus	ABC transporter permease		41711983	protein-coding		WP_011011305.1	474	PFDSM3638_RS00905
NZ_CP023154.1	189961	190920		plus	ABC transporter ATP-binding protein		41711984	protein-coding		WP_011011306.1	319	PFDSM3638_RS00910
NZ_CP023154.1	190931	191938		plus	ABC transporter ATP-binding protein		41711985	protein-coding		WP_011011307.1	335	PFDSM3638_RS00915
NZ_CP023154.1	191950	192456		plus	hypothetical protein		41711986	protein-coding		WP_014835080.1	168	PFDSM3638_RS00920
NZ_CP023154.1	192449	193018		plus	glucose-6-phosphate isomerase	pgiA	41711987	protein-coding		WP_011011309.1	189	PFDSM3638_RS00925
NZ_CP023154.1	193086	193325		plus	phosphoribosylformylglycinamidine synthase subunit PurS	purS	41711988	protein-coding		WP_011011310.1	79	PFDSM3638_RS00930
NZ_CP023154.1	193331	194002		plus	phosphoribosylformylglycinamidine synthase I	purQ	41711989	protein-coding		WP_014835081.1	223	PFDSM3638_RS00935
NZ_CP023154.1	194111	196225		plus	phosphoribosylformylglycinamidine synthase subunit PurL	purL	41711990	protein-coding		WP_011011312.1	704	PFDSM3638_RS00940
NZ_CP023154.1	196215	196385		minus	hypothetical protein		54853108	protein-coding		WP_014835082.1	56	PFDSM3638_RS10555
NZ_CP023154.1	196389	197831		minus	bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase		41711991	protein-coding		WP_011011313.1	480	PFDSM3638_RS00945
NZ_CP023154.1	197874	200369		minus	aconitate hydratase AcnA	acnA	41711992	protein-coding		WP_011011314.1	831	PFDSM3638_RS00950
NZ_CP023154.1	200374	201576		minus	NADP-dependent isocitrate dehydrogenase		41711993	protein-coding		WP_011011315.1	400	PFDSM3638_RS00955
NZ_CP023154.1	201582	202715		minus	citrate synthase	gltA	41711994	protein-coding		WP_011011316.1	377	PFDSM3638_RS00960
NZ_CP023154.1	203072	204181		plus	glutamine amidotransferase family protein		41711995	protein-coding		WP_011011317.1	369	PFDSM3638_RS00965
NZ_CP023154.1	204178	205686		plus	glutamate synthase-related protein		41711996	protein-coding		WP_011011318.1	502	PFDSM3638_RS00970
NZ_CP023154.1	205683	206510		plus	hypothetical protein		41711997	protein-coding		WP_011011319.1	275	PFDSM3638_RS00975
NZ_CP023154.1	206599	207831		plus	argininosuccinate synthase		41711998	protein-coding		WP_011011320.1	410	PFDSM3638_RS00980
