Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_004353.4	215009	227748	4	minus	uncharacterized protein, isoform A	CG31999	43777	protein-coding	NM_166745.3	NP_726551.2	917	Dmel_CG31999
NC_004353.4	215957	216263	4	plus	uncharacterized gene	CR46405	54520473	pseudogene				Dmel_CR46405
NC_004353.4	227922	230428	4	plus	yellow-h	yellow-h	43779	protein-coding	NM_143655.4	NP_651912.3	463	Dmel_CG1629
NC_004353.4	228576	229112	4	minus	antisense RNA:CR46065	asRNA:CR46065	26067382	antisense_RNA	NR_133502.1			Dmel_CR46065
NC_004353.4	230730	245903	4	plus	uncharacterized protein, isoform B	CG1674	43780	protein-coding	NM_143656.2	NP_651913.1	743	Dmel_CG1674
NC_004353.4	247124	253329	4	minus	defective proboscis extension response 7	dpr7	2768865	protein-coding	NM_001103380.3	NP_001096850.2	312	Dmel_CG33481
NC_004353.4	254997	265574	4	plus	Rho GTPase activating protein at 102A	RhoGAP102A	43781	protein-coding	NM_143657.5	NP_651914.3	1137	Dmel_CG42316
NC_004353.4	268175	276369	4	minus	Nuclear factor I	NfI	43782	protein-coding	NM_205870.3	NP_995592.2	766	Dmel_CG2380
NC_004353.4	276523	278174	4	plus	long non-coding RNA:CR44023	lncRNA:CR44023	14462353	lncRNA	NR_073615.1			Dmel_CR44023
NC_004353.4	278685	306481	4	minus	Synaptotagmin 7	Syt7	43783	protein-coding	NM_166748.5	NP_726557.3	416	Dmel_CG2381
NC_004353.4	308093	310822	4	plus	Rad23, isoform A	Rad23	43785	protein-coding	NM_143661.3	NP_651918.2	414	Dmel_CG1836
NC_004353.4	310930	314087	4	minus	Zinc/iron regulated transporter-related protein 102B	Zip102B	43786	protein-coding	NM_143662.2	NP_651919.3	297	Dmel_CG2177
NC_004353.4	314923	331387	4	plus	Ring finger protein 11	Rnf11	318246	protein-coding	NM_166753.3	NP_726563.1	147	Dmel_CG32850
NC_004353.4	328193	358917	4	minus	plasma membrane calcium ATPase	PMCA	43787	protein-coding	NM_166754.6	NP_726564.5	1206	Dmel_CG42314
NC_004353.4	359938	375554	4	plus	Host cell factor	Hcf	43788	protein-coding	NM_079882.4	NP_524621.2	1500	Dmel_CG1710
NC_004353.4	375640	395605	4	minus	datilografo	dati	43789	protein-coding	NM_166758.4	NP_726568.2	1140	Dmel_CG2052
NC_004353.4	380724	381275	4	plus	long non-coding RNA:CR45125	lncRNA:CR45125	19835515	lncRNA	NR_123745.1			Dmel_CR45125
NC_004353.4	395396	395954	4	plus	antisense RNA:CR44027	asRNA:CR44027	14462354	antisense_RNA	NR_073616.2			Dmel_CR44027
NC_004353.4	400703	400765	4	minus	mir-9385 stem loop	mir-9385	30522422	miRNA	NR_144673.1			Dmel_CR46291
NC_004353.4	426067	426601	4	plus	long non-coding RNA:CR43437	lncRNA:CR43437	12798283	lncRNA	NR_047708.1			Dmel_CR43437
NC_004353.4	427331	431769	4	plus	long non-coding RNA:CR44024	lncRNA:CR44024	14462355	lncRNA	NR_073617.1			Dmel_CR44024
NC_004353.4	436957	443911	4	minus	legless	lgs	43791	protein-coding	NM_143665.4	NP_651922.1	1469	Dmel_CG2041
NC_004353.4	445504	453947	4	plus	Calcium/calmodulin-dependent protein kinase I	CaMKI	43792	protein-coding	NM_079883.3	NP_524622.1	405	Dmel_CG1495
NC_004353.4	459768	461413	4	plus	antisense RNA:CR45126	asRNA:CR45126	19835758	antisense_RNA	NR_123746.1			Dmel_CR45126
NC_004353.4	459887	466828	4	minus	TBP-associated factor 3	Taf3	43793	protein-coding	NM_143666.3	NP_651923.2	1406	Dmel_CG2009
NC_004353.4	467497	471476	4	plus	uncharacterized protein	CG33941	3772538	protein-coding	NM_001347760.1	NP_001334686.1	151	Dmel_CG33941
NC_004353.4	469409	488994	4	minus	asator, isoform D	Asator	43794	protein-coding	NM_143667.3	NP_651924.2	1349	Dmel_CG11533
NC_004353.4	501810	540874	4	plus	Zn finger homeodomain 2	zfh2	43795	protein-coding	NM_079884.5	NP_524623.2	3005	Dmel_CG1449
NC_004353.4	538332	557854	4	minus	Thymine DNA glycosylase	Tdg	43796	protein-coding	NM_143668.3	NP_651925.1	1738	Dmel_CG1981
NC_004353.4	557025	557854	4	minus	long non-coding RNA:CR43958	lncRNA:CR43958	14462356	lncRNA	NR_073619.1			Dmel_CR43958
NC_004353.4	558016	567257	4	plus	Purine-rich binding protein-alpha	Pur-alpha	43797	protein-coding	NM_079885.2	NP_524624.1	275	Dmel_CG1507
NC_004353.4	568296	571554	4	minus	NADH dehydrogenase (ubiquinone) 49 kDa subunit	ND-49	43798	protein-coding	NM_143669.2	NP_651926.1	468	Dmel_CG1970
NC_004353.4	571755	580122	4	plus	ephrin, isoform B	Ephrin	43799	protein-coding	NM_143670.5	NP_651927.1	652	Dmel_CG1862
NC_004353.4	583108	589348	4	plus	uncharacterized protein, isoform A	CG1909	43800	protein-coding	NM_143671.3	NP_651928.1	606	Dmel_CG1909
NC_004353.4	597624	598274	4	minus	long non-coding RNA:CR45199	lncRNA:CR45199	19835310	lncRNA	NR_123747.1			Dmel_CR45199
NC_004353.4	598555	607649	4	minus	onecut, isoform A	onecut	45816	protein-coding	NM_080103.3	NP_524842.2	1081	Dmel_CG1922
NC_004353.4	610684	622470	4	plus	Eph receptor tyrosine kinase	Eph	43803	protein-coding	NM_079886.5	NP_524625.3	1096	Dmel_CG1511
NC_004353.4	623219	626031	4	minus	maverick	mav	43804	protein-coding	NM_079887.3	NP_524626.1	701	Dmel_CG1901
NC_004353.4	626126	626212	4	plus	mir-954 stem loop	mir-954	12798287	miRNA	NR_047709.1			Dmel_CR43009
NC_004353.4	629691	635350	4	plus	GABA transporter	Gat	43805	protein-coding	NM_143673.3	NP_651930.2	636	Dmel_CG1732
NC_004353.4	636131	646556	4	minus	Eye-enriched kainate receptor	Ekar	43806	protein-coding	NM_143674.2	NP_651931.1	669	Dmel_CG9935
NC_004353.4	637333	637787	4	plus	uncharacterized gene	CR44028	14462357	pseudogene				Dmel_CR44028
NC_004353.4	649041	660608	4	minus	gawky	gw	43808	protein-coding	NM_166780.2	NP_726596.1	1384	Dmel_CG31992
NC_004353.4	661009	663124	4	minus	uncharacterized protein, isoform A	CG46466	54520456	protein-coding	NM_001382170.1	NP_001368987.1	272	Dmel_CG46466
NC_004353.4	663621	669884	4	plus	SLo interacting protein 1	Slip1	43809	protein-coding	NM_143676.2	NP_651933.1	767	Dmel_CG1783
NC_004353.4	671142	690650	4	plus	uncharacterized protein, isoform A	CG11360	43810	protein-coding	NM_143677.4	NP_651934.2	628	Dmel_CG11360
NC_004353.4	690686	696055	4	minus	myoglianin	myo	43811	protein-coding	NM_166786.2	NP_726604.1	598	Dmel_CG1838
NC_004353.4	697689	721173	4	plus	eyeless	ey	43812	protein-coding	NM_079889.3	NP_524628.2	838	Dmel_CG1464
NC_004353.4	724400	776474	4	plus	bent	bt	43814	protein-coding	NM_205876.3	NP_995598.1	8648	Dmel_CG32019
NC_004353.4	776475	777146	4	minus	long non-coding RNA:CR45200	lncRNA:CR45200	19835289	lncRNA	NR_123748.1			Dmel_CR45200
NC_004353.4	778516	788978	4	minus	Mediator complex subunit 26	MED26	43816	protein-coding	NM_143679.4	NP_651936.1	1483	Dmel_CG1793
NC_004353.4	800436	834393	4	minus	Sox102F, isoform A	Sox102F	43844	protein-coding	NM_166792.2	NP_726612.1	580	Dmel_CG11153
NC_004353.4	836986	844529	4	minus	forkhead domain 102C	fd102C	43843	protein-coding	NM_143694.3	NP_651951.1	599	Dmel_CG11152
NC_004353.4	843274	843973	4	plus	uncharacterized gene	CR33797	14462358	pseudogene				Dmel_CR33797
NC_004353.4	851174	851624	4	plus	long non-coding RNA:CR45123	lncRNA:CR45123	19835331	lncRNA	NR_123749.1			Dmel_CR45123
NC_004353.4	853557	867025	4	minus	Gigyf	Gyf	43842	protein-coding	NM_143693.4	NP_651950.3	1567	Dmel_CG11148
NC_004353.4	867824	912331	4	minus	unc-13, isoform A	unc-13	43841	protein-coding	NM_143692.4	NP_651949.2	2871	Dmel_CG2999
NC_004353.4	867824	871426	4	plus	antisense RNA:CR43425	asRNA:CR43425	12798288	antisense_RNA	NR_047711.2			Dmel_CR43425
NC_004353.4	879374	884752	4	plus	antisense RNA:CR44029	asRNA:CR44029	14462359	antisense_RNA	NR_073620.1			Dmel_CR44029
NC_004353.4	905179	907924	4	plus	uncharacterized gene	CR43361	12798289	pseudogene				Dmel_CR43361
NC_004353.4	915297	930715	4	minus	eukaryotic translation initiation factor 4G1	eIF4G1	43839	protein-coding	NM_079901.4	NP_524640.3	1666	Dmel_CG10811
NC_004353.4	936819	949441	4	plus	metabotropic Glutamate Receptor	mGluR	43838	protein-coding	NM_079900.3	NP_524639.2	976	Dmel_CG11144
NC_004353.4	951542	958392	4	minus	eIF4E-Transporter	4E-T	43836	protein-coding	NM_166796.2	NP_726618.3	1010	Dmel_CG32016
NC_004353.4	959224	959434	4	minus	long non-coding RNA:CR45201	lncRNA:CR45201	19835572	lncRNA	NR_123751.1			Dmel_CR45201
NC_004353.4	959675	962692	4	plus	antisense RNA:CR44030	asRNA:CR44030	14462360	antisense_RNA	NR_073621.1			Dmel_CR44030
NC_004353.4	962341	978489	4	minus	fussel	fuss	43835	protein-coding	NM_001169358.2	NP_001162829.1	770	Dmel_CG11093
NC_004353.4	975168	977261	4	plus	long non-coding RNA:sphinx	lncRNA:sphinx	4379815	lncRNA	NR_003113.2			Dmel_CR34154
NC_004353.4	989725	1007922	4	plus	twin of eyeless	toy	43833	protein-coding	NM_079899.4	NP_524638.3	543	Dmel_CG11186
NC_004353.4	1009895	1027101	4	minus	Plexin A	PlexA	43832	protein-coding	NM_079898.3	NP_524637.2	1945	Dmel_CG11081
NC_004353.4	1027863	1029359	4	plus	antisense RNA:CR44031	asRNA:CR44031	14462361	antisense_RNA	NR_073624.1			Dmel_CR44031
NC_004353.4	1028675	1029361	4	minus	Mitochondrial inner membrane protein MPV17	Mpv17	43831	protein-coding	NM_143687.4	NP_651944.1	168	Dmel_CG11077
NC_004353.4	1029711	1031757	4	minus	uncharacterized protein, isoform D	CG11076	43830	protein-coding	NM_143686.4	NP_651943.2	260	Dmel_CG11076
NC_004353.4	1031484	1034917	4	plus	ATP synthase, beta subunit	ATPsynbeta	43829	protein-coding	NM_166808.3	NP_726631.1	505	Dmel_CG11154
NC_004353.4	1035288	1053703	4	minus	Calcium/calmodulin-dependent protein kinase II	CaMKII	43828	protein-coding	NM_079896.4	NP_524635.3	490	Dmel_CG18069
NC_004353.4	1057365	1065001	4	minus	Zyxin	Zyx	317824	protein-coding	NM_143758.4	NP_652015.1	585	Dmel_CG32018
NC_004353.4	1060969	1077273	4	plus	apolipophorin	apolpp	43827	protein-coding	NM_079895.3	NP_524634.2	3351	Dmel_CG11064
NC_004353.4	1077331	1084796	4	minus	Activin-beta	Actbeta	43826	protein-coding	NM_143685.3	NP_651942.2	946	Dmel_CG11062
NC_004353.4	1088798	1113317	4	plus	shaven	sv	43825	protein-coding	NM_079894.4	NP_524633.3	844	Dmel_CG11049
NC_004353.4	1112874	1123357	4	minus	Calsyntenin	Cals	43824	protein-coding	NM_079893.3	NP_524632.1	978	Dmel_CG11059
NC_004353.4	1124167	1125325	4	plus	ADP ribosylation factor 4	Arf4	43823	protein-coding	NM_079892.3	NP_524631.1	180	Dmel_CG11027
NC_004353.4	1126602	1137919	4	plus	uncharacterized protein, isoform A	CG11155	43822	protein-coding	NM_143684.3	NP_651941.2	910	Dmel_CG11155
NC_004353.4	1137830	1162158	4	minus	uncharacterized protein, isoform B	CG32017	317823	protein-coding	NM_166826.3	NP_726650.2	482	Dmel_CG32017
NC_004353.4	1147466	1169239	4	plus	Kinesin family member 3C	Kif3C	43820	protein-coding	NM_143682.4	NP_651939.4	649	Dmel_CG17461
NC_004353.4	1172469	1181628	4	minus	pleiohomeotic	pho	43819	protein-coding	NM_079891.3	NP_524630.1	520	Dmel_CG17743
NC_004353.4	1185768	1192985	4	plus	uncharacterized protein, isoform D	CG33521	3346141	protein-coding	NM_001014702.4	NP_001014702.1	649	Dmel_CG33521
NC_004353.4	1192419	1196848	4	minus	Phosphatidylinositol 5-phosphate 4-kinase	PIP4K	3885565	protein-coding	NM_001038716.2	NP_001033805.1	404	Dmel_CG17471
NC_004353.4	1198852	1224467	4	plus	mitf, isoform B	Mitf	3885647	protein-coding	NM_001038718.2	NP_001033807.1	730	Dmel_CG43369
NC_004353.4	1225089	1230713	4	minus	Dual-specificity tyrosine phosphorylation-regulated kinase 3	Dyrk3	3885567	protein-coding	NM_001038721.2	NP_001033810.1	828	Dmel_CG40478
NC_004353.4	1230837	1271759	4	plus	Calcium-dependent secretion activator	Cadps	49968	protein-coding	NM_001031858.2	NP_001027029.2	1409	Dmel_CG33653
NC_004354.4	122493	122706	X	plus	long non-coding RNA:CR40469	lncRNA:CR40469	5740321	lncRNA	NR_003723.2			Dmel_CR40469
NC_004354.4	124370	126714	X	minus	uncharacterized protein, isoform A	CG17636	5740847	protein-coding	NM_001103384.3	NP_001096854.1	571	Dmel_CG17636
NC_004354.4	127449	140340	X	plus	Rho GTPase activating protein at 1A	RhoGAP1A	5740235	protein-coding	NM_001103385.2	NP_001096855.1	1403	Dmel_CG40494
NC_004354.4	133385	133502	X	plus	mir-4915 stem loop	mir-4915	12798290	miRNA	NR_047712.1			Dmel_CR43552
NC_004354.4	140318	200663	X	plus	trynity	tyn	3354987	protein-coding	NM_001031861.2	NP_001027032.1	715	Dmel_CG17131
NC_004354.4	140722	142197	X	minus	long non-coding RNA:CR45473	lncRNA:CR45473	19834782	lncRNA	NR_123753.2			Dmel_CR45473
NC_004354.4	142731	148426	X	minus	uncharacterized protein, isoform B	CG17707	5740408	protein-coding	NM_001169156.2	NP_001162627.1	990	Dmel_CG17707
NC_004354.4	151691	152279	X	minus	long non-coding RNA:CR43863	lncRNA:CR43863	14462374	lncRNA	NR_073626.1			Dmel_CR43863
NC_004354.4	243954	245856	X	minus	uncharacterized protein, isoform A	CG3038	30970	protein-coding	NM_130477.4	NP_569833.1	388	Dmel_CG3038
NC_004354.4	245978	254650	X	plus	G9a, isoform A	G9a	30971	protein-coding	NM_130478.3	NP_569834.1	1637	Dmel_CG2995
NC_004354.4	254876	255524	X	plus	uncharacterized protein, isoform A	CG42376	7354420	protein-coding	NM_001144664.3	NP_001138136.1	92	Dmel_CG42376
NC_004354.4	255674	258469	X	plus	cinnamon	cin	30973	protein-coding	NM_057682.4	NP_477030.1	601	Dmel_CG2945
NC_004354.4	258335	263999	X	minus	uncharacterized protein, isoform A	CG13377	30972	protein-coding	NM_130479.3	NP_569835.1	330	Dmel_CG13377
NC_004354.4	258465	267253	X	plus	antisense RNA:CR43906	asRNA:CR43906	14462375	antisense_RNA	NR_073627.1			Dmel_CR43906
NC_004354.4	265724	267028	X	minus	uncharacterized protein, isoform B	CG13376	3346142	protein-coding	NM_001014706.2	NP_001014706.2	200	Dmel_CG13376
NC_004354.4	268509	279718	X	minus	erect wing	ewg	30975	protein-coding	NM_057544.4	NP_476892.4	840	Dmel_CG3114
NC_004354.4	279703	350504	X	plus	uncharacterized protein, isoform B	CG3777	30979	protein-coding	NM_130483.3	NP_569839.2	879	Dmel_CG3777
NC_004354.4	280172	280269	X	minus	mir-980 stem loop	mir-980	12798291	miRNA	NR_047714.1			Dmel_CR42973
NC_004354.4	283186	294962	X	minus	uncharacterized protein, isoform A	CG13375	30976	protein-coding	NM_130481.4	NP_569837.2	306	Dmel_CG13375
NC_004354.4	307684	308935	X	plus	uncharacterized protein	CG12470	30977	protein-coding	NM_130482.3	NP_569838.1	195	Dmel_CG12470
NC_004354.4	315123	316566	X	plus	Odorant receptor 1a	Or1a	30978	protein-coding	NM_080290.4	NP_525029.2	392	Dmel_CG17885
NC_004354.4	316576	470726	X	minus	uncharacterized protein, isoform A	CG32816	318225	protein-coding	NM_166838.3	NP_726662.1	378	Dmel_CG32816
NC_004354.4	350566	351133	X	plus	uncharacterized protein	CG43181	12798292	protein-coding	NM_001258516.2	NP_001245445.1	128	Dmel_CG43181
NC_004354.4	353067	353317	X	plus	uncharacterized protein	CG43182	12798293	protein-coding	NM_001258517.1	NP_001245446.1	71	Dmel_CG43182
NC_004354.4	356509	361245	X	plus	yellow	y	30980	protein-coding	NM_057444.3	NP_476792.1	541	Dmel_CG3757
NC_004354.4	362399	367072	X	plus	yellow-achaete intergenic RNA	lncRNA:yar	10178876	lncRNA	NR_037723.1			Dmel_CR42744
NC_004354.4	370031	370947	X	plus	achaete	ac	30981	protein-coding	NM_057476.3	NP_476824.1	201	Dmel_CG3796
NC_004354.4	376987	377642	X	plus	long non-coding RNA:CR44751	lncRNA:CR44751	19834965	lncRNA	NR_123756.1			Dmel_CR44751
NC_004354.4	385558	386274	X	plus	long non-coding RNA:CR44752	lncRNA:CR44752	19835367	lncRNA	NR_123758.1			Dmel_CR44752
NC_004354.4	391835	393227	X	minus	long non-coding RNA:CR44753	lncRNA:CR44753	19835875	lncRNA	NR_123759.1			Dmel_CR44753
NC_004354.4	396060	397497	X	plus	scute	sc	30982	protein-coding	NM_057455.3	NP_476803.1	345	Dmel_CG3827
NC_004354.4	409721	410817	X	plus	lethal of scute	l(1)sc	30983	protein-coding	NM_057275.5	NP_476623.1	257	Dmel_CG3839
NC_004354.4	436139	437448	X	minus	Pepsinogen C-like	Pgcl	30984	protein-coding	NM_080291.4	NP_525030.1	407	Dmel_CG13374
NC_004354.4	460747	463176	X	plus	asense	ase	30985	protein-coding	NM_057346.5	NP_476694.1	486	Dmel_CG3258
NC_004354.4	467057	469335	X	minus	Cytochrome P450 4g1	Cyp4g1	30986	protein-coding	NM_080292.4	NP_525031.1	556	Dmel_CG3972
NC_004354.4	471019	476579	X	minus	ellipsoid body open	ebo	47141	protein-coding	NM_080140.3	NP_524879.2	1047	Dmel_CG3923
NC_004354.4	476857	479309	X	minus	uncharacterized gene	CR18275	8674032	pseudogene				Dmel_CR18275
NC_004354.4	476984	478191	X	plus	uncharacterized protein, isoform A	CG13373	30988	protein-coding	NM_130484.3	NP_569840.1	124	Dmel_CG13373
NC_004354.4	479066	480166	X	plus	uncharacterized protein, isoform A	CG32817	318226	protein-coding	NM_166842.3	NP_726668.1	121	Dmel_CG32817
NC_004354.4	479864	481826	X	minus	uncharacterized gene	CR18166	8673968	pseudogene				Dmel_CR18166
NC_004354.4	481862	482768	X	plus	uncharacterized protein, isoform A	CG3176	30990	protein-coding	NM_130486.4	NP_569842.1	121	Dmel_CG3176
NC_004354.4	482777	487581	X	minus	uncharacterized protein	CG18273	30991	protein-coding	NM_130487.4	NP_569843.2	1377	Dmel_CG18273
NC_004354.4	487878	490725	X	plus	uncharacterized protein	CG3156	30994	protein-coding	NM_130488.3	NP_569844.2	692	Dmel_CG3156
NC_004354.4	487898	488333	X	minus	antisense RNA:CR45797	asRNA:CR45797	26067128	antisense_RNA	NR_133503.1			Dmel_CR45797
NC_004354.4	490787	493495	X	minus	uncharacterized protein, isoform B	CG17896	30995	protein-coding	NM_130489.3	NP_569845.2	520	Dmel_CG17896
NC_004354.4	494614	496369	X	plus	uncharacterized protein, isoform A	CG17778	30996	protein-coding	NM_130490.2	NP_569846.2	127	Dmel_CG17778
NC_004354.4	496446	509072	X	plus	silver	svr	30998	protein-coding	NM_080293.4	NP_525032.2	1406	Dmel_CG4122
NC_004354.4	496597	497374	X	minus	antisense RNA:CR44891	asRNA:CR44891	19836009	antisense_RNA	NR_123760.1			Dmel_CR44891
NC_004354.4	498097	499456	X	minus	antisense RNA:CR44892	asRNA:CR44892	19834837	antisense_RNA	NR_123761.1			Dmel_CR44892
NC_004354.4	509235	523226	X	minus	embryonic lethal abnormal vision	elav	31000	protein-coding	NM_080294.5	NP_525033.1	483	Dmel_CG4262
NC_004354.4	509435	528028	X	plus	arginase	arg	46717	protein-coding	NM_080136.3	NP_524875.1	351	Dmel_CG18104
NC_004354.4	513106	523226	X	minus	elav noncoding regulatory RNA	lncRNA:enrr	54520466	lncRNA	NR_167815.1			Dmel_CR46392
NC_004354.4	527941	530291	X	minus	uncharacterized protein, isoform A	CG4293	31001	protein-coding	NM_130491.5	NP_569847.1	441	Dmel_CG4293
NC_004354.4	530501	579044	X	plus	beta amyloid protein precursor-like	Appl	31002	protein-coding	NM_057278.5	NP_476626.2	887	Dmel_CG7727
NC_004354.4	569903	570003	X	plus	mir-4960 stem loop	mir-4960	12798091	miRNA	NR_047723.1			Dmel_CR43519
NC_004354.4	582121	598151	X	plus	ventral nervous system defective	vnd	31003	protein-coding	NM_057438.4	NP_476786.2	723	Dmel_CG6172
NC_004354.4	585081	620195	X	minus	split discs	spdi	31004	protein-coding	NM_130492.3	NP_569848.2	950	Dmel_CG13366
NC_004354.4	620282	620729	X	plus	long non-coding RNA:CR45474	lncRNA:CR45474	19836169	lncRNA	NR_123762.1			Dmel_CR45474
NC_004354.4	620421	620597	X	minus	uncharacterized gene	CR46417	54520484	pseudogene				Dmel_CR46417
NC_004354.4	620717	621215	X	minus	uncharacterized protein	CG13365	31005	protein-coding	NM_130493.2	NP_569849.1	114	Dmel_CG13365
NC_004354.4	621530	623051	X	plus	Vacuolar protein sorting 37A	Vsp37A	31006	protein-coding	NM_080295.3	NP_525034.2	200	Dmel_CG17828
NC_004354.4	623468	624765	X	plus	uncharacterized protein	CG13369	31007	protein-coding	NM_130494.4	NP_569850.1	304	Dmel_CG13369
NC_004354.4	624757	625203	X	minus	uncharacterized protein	CG13364	50364	protein-coding	NM_144243.2	NP_652500.1	64	Dmel_CG13364
NC_004354.4	625247	625661	X	plus	long non-coding RNA:CR45475	lncRNA:CR45475	19835767	lncRNA	NR_123763.2			Dmel_CR45475
NC_004354.4	625542	628016	X	plus	Histone H4 transcription factor	Hinfp	47718	protein-coding	NM_143797.3	NP_652054.1	467	Dmel_CG17829
NC_004354.4	628338	629483	X	minus	Ribosomal protein L36	RpL36	31009	protein-coding	NM_057281.4	NP_476629.1	115	Dmel_CG7622
NC_004354.4	629773	633633	X	plus	MYB binding protein 1a	Mybbp1A	31010	protein-coding	NM_057245.3	NP_476593.2	1133	Dmel_CG6189
NC_004354.4	633622	635545	X	minus	Death related ced-3/Nedd2-like caspase	Dredd	31011	protein-coding	NM_057901.4	NP_477249.3	494	Dmel_CG7486
NC_004354.4	633691	633751	X	minus	mir-9372 stem loop	mir-9372	30522414	miRNA	NR_144665.1			Dmel_CR46283
NC_004354.4	635890	643760	X	plus	suppressor of sable	su(sable)	31012	protein-coding	NM_057406.4	NP_476754.1	1325	Dmel_CG6222
NC_004354.4	644226	644616	X	plus	uncharacterized gene	CR44839	19835888	pseudogene				Dmel_CR44839
NC_004354.4	644761	646386	X	plus	uncharacterized protein	CG13367	31013	protein-coding	NM_130495.2	NP_569851.2	408	Dmel_CG13367
NC_004354.4	647304	648597	X	plus	Regulator of cullins 1a	Roc1a	31014	protein-coding	NM_130496.4	NP_569852.1	108	Dmel_CG16982
NC_004354.4	648483	656033	X	minus	Histone methyltransferase 4-20	Hmt4-20	31015	protein-coding	NM_130497.4	NP_569853.1	1300	Dmel_CG13363
NC_004354.4	656114	657899	X	plus	SKP1-related A	SkpA	31016	protein-coding	NM_058042.5	NP_477390.1	162	Dmel_CG16983
NC_004354.4	680346	680773	X	minus	uncharacterized gene	CR46419	54520486	pseudogene				Dmel_CR46419
NC_004354.4	686834	749496	X	plus	sidekick	sdk	31017	protein-coding	NM_057941.5	NP_477289.5	2224	Dmel_CG5227
NC_004354.4	749241	751301	X	minus	uncharacterized protein	CG13362	31018	protein-coding	NM_130498.3	NP_569854.1	322	Dmel_CG13362
NC_004354.4	750347	758719	X	plus	uncharacterized protein, isoform A	CG5254	31020	protein-coding	NM_130500.4	NP_569856.2	306	Dmel_CG5254
NC_004354.4	752011	753653	X	minus	uncharacterized protein	CG13361	31019	protein-coding	NM_130499.2	NP_569855.2	478	Dmel_CG13361
NC_004354.4	759594	761939	X	plus	uncharacterized protein, isoform A	CG5273	31021	protein-coding	NM_130501.6	NP_569857.1	469	Dmel_CG5273
