Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_020488455.1	ASM2048845v1	Erwinia phage pEa_SNUABM_30	259771	330	330	
GCF_021029375.1	ASM2102937v1	Kosakonia phage Kc263	253740	261	259	
GCF_015502055.1	ASM1550205v1	Klebsiella phage Miami	253383	300	300	
GCF_010092605.1	ASM1009260v1	Klebsiella phage N1M2	253367	260	257	
GCF_015224295.1	DlEPV	Diachasmimorpha longicaudata entomopoxvirus	252940	193	193	
GCF_017654345.1	ASM1765434v1	Synechococcus phage S-SRM01	240842	353	353	
GCF_007051165.1	ASM705116v2	Aeromonas phage PS1	237367	249	247	
GCF_021497835.1	ASM2149783v1	Aeromonas phage pAEv1810	235066	249	249	
GCF_023078885.1	ASM2307888v1	Aeromonas phage ZPAH34	234546	233	231	
GCF_008792765.1	ASM879276v1	Murid betaherpesvirus 1	230408	158	158	
GCF_014190395.1	ASM1419039v1	Synechococcus phage S-SCSM1	228827	293	282	
GCF_002826785.1	ASM282678v1	Heliothis zea nudivirus	228089	156	154	
GCF_004787495.1	ASM478749v1	Mandrillus leucophaeus cytomegalovirus	223083	95	81	
GCF_018577865.1	ASM1857786v1	miniopterid betaherpesvirus 1	222870	189	189	
GCF_016835985.1	ASM1683598v1	Rhizobium phage RHph_TM30	207623	384	364	
GCF_016836195.1	ASM1683619v1	Rhizobium phage RHph_Y65	206821	384	364	
GCF_029885055.1	ASM2988505v1	Elephant endotheliotropic herpesvirus 3A	204633	120	120	
GCF_015502415.1	ASM1550241v1	Synechococcus phage S-H9-1	192454	241	229	
GCF_002604645.1	ASM260464v1	Synechococcus phage ACG-2014j	192117	223	223	
GCF_002921755.1	ASM292175v1	Synechococcus phage ACG-2014e	189418	217	217	
GCF_015502395.1	ASM1550239v1	Synechococcus phage S-H9-2	187320	216	202	
GCF_029885655.1	ASM2988565v1	Pyramimonas orientalis virus	186217	168	167	
GCF_022818285.1	ASM2281828v1	Cronobacter phage LPCS28	182723	295	270	
GCF_015502405.1	ASM1550240v1	Synechococcus phage S-H38	180224	219	211	
GCF_002534655.1	ASM253465v1	Synechococcus phage ACG-2014d	179116	220	220	
GCF_022694625.1	ASM2269462v1	Synechococcus phage S-SZBM1	177834	224	218	
GCF_021029365.1	ASM2102936v1	Kosakonia phage 305	174783	300	294	
GCF_021497815.1	ASM2149781v1	Enterobacter phage vB_EclM_Q7622	173871	305	297	
GCF_014533815.1	ASM1453381v1	Enterobacter phage vB_EhoM-IME523	172763	298	289	1
GCF_000902515.2	ViralProj181237	Cyanophage S-TIM5	172474	222	212	
GCF_021216225.1	ASM2121622v1	Escherichia phage vB_EcoM_RZ	170318	291	291	
GCF_016653805.1	ASM1665380v1	Salmonella phage KM16	170126	305	305	
GCF_002606985.1	ASM260698v1	Bacillus phage PBC2	168689	268	251	1
GCF_012361005.1	ASM1236100v1	Bacillus phage Izhevsk	168638	273	255	2
GCF_021355765.1	ASM2135576v1	Bacillus phage vB_BanS_Sophrita	167995	266	262	
GCF_001743935.2	ViralProj344169	Escherichia phage UFV-AREG1	167231	278	268	
GCF_011757305.1	ASM1175730v1	Synechococcus phage S-N03	167069	248	247	
GCF_011757295.1	ASM1175729v2	Synechococcus phage S-H34	167040	251	246	
GCF_021355775.1	ASM2135577v1	Bacillus phage vB_BanS_Nate	166879	286	267	
GCF_008792185.1	ASM879218v1	Gallid alphaherpesvirus 3	165994	124	124	
GCF_022694515.1	ASM2269451v1	Bacillus phage vB_BsuS_PJN02	165868	230	230	
GCF_015245245.1	ASM1524524v1	Bacillus phage Kirov	165667	280	275	
GCF_029885965.1	ASM2988596v1	Trabala vishnou gigantina nucleopolyhedrovirus	165657	146	146	
GCF_021355635.1	ASM2135563v1	Bacillus phage vB_BanS_MrDarsey	164998	266	247	
GCF_023131665.1	ASM2313166v1	Euproctis digramma nucleopolyhedrovirus	161734	149	149	
GCF_022544585.1	ASM2254458v1	Stenotrophomonas maltophilia phage vB_SmaM_Ps15	161350	300	276	1
GCF_021355545.1	ASM2135554v1	Bacillus phage vB_BanS_Chewbecca	161151	257	237	
GCF_021355015.1	ASM2135501v1	Bacillus phage vB_BanS_Skywalker	160928	257	236	
GCF_004015565.1	ASM401556v1	Bacillus phage pW2	160627	176	172	
GCF_003718815.1	ASM371881v1	Bacillus phage vB_BcoS-136	160590	255	238	
GCF_009800405.1	ASM980040v1	Rhizobium phage RL38J1	158577	270	270	
GCF_018580855.1	ASM1858085v1	Macacine alphaherpesvirus 1	157447	93	74	
GCF_018580865.1	ASM1858086v1	Macacine alphaherpesvirus 1	157321	92	73	
GCF_009800365.1	ASM980036v1	Rhizobium phage RL2RES	156878	261	261	
GCF_013088555.1	ASM1308855v1	Mythimna unipuncta nucleopolyhedrovirus	156647	151	151	
GCF_014319925.1	ASM1431992v1	Rhizobium phage P9VFCI	156502	257	257	
GCF_014319905.1	ASM1431990v1	Rhizobium phage AF3	156186	258	258	
GCF_018987125.1	ASM1898712v1	Mycobacterium phage I3	156127	276	241	
GCF_018583585.1	ASM1858358v1	Mauternbach virus	154465	93	93	
GCF_016835635.1	ASM1683563v1	Rhizobium phage RHph_I1_9	154206	255	255	
GCF_016835475.1	ASM1683547v1	Rhizobium phage RHph_N34	153811	253	253	
GCF_008787145.1	ASM878714v1	Gallid alphaherpesvirus 1	152975	79	79	
GCF_016836215.1	ASM1683621v1	Rhizobium phage RHph_Y68	152762	256	256	
GCF_018642085.1	ASM1864208v1	Dompiswa phage TSP7_1	150892	280	269	
GCF_002612725.2	ASM261272v1	Escherichia phage ESCO5	149268	273	263	
GCF_027938535.1	ASM2793853v1	Equid herpesvirus 6	147609	80	80	
GCF_027938855.1	ASM2793885v1	pteropodid alphaherpesvirus 2	144008	72	72	
GCF_002628225.1	ASM262822v1	Agrobacterium phage Atu_ph04	143349	48	48	
GCF_008766935.1	ASM876693v1	Cervid alphaherpesvirus 2	142633	70	70	
GCF_029886455.1	ASM2988645v1	Olene mendosa nucleopolyhedrovirus	142291	146	146	
GCF_021461845.1	ASM2146184v1	Macropodid alphaherpesvirus 2	141859	72	72	
GCF_027939225.1	ASM2793922v1	Cacatuid alphaherpesvirus 2	141537	79	79	
GCF_008766955.1	ASM876695v1	Cervid alphaherpesvirus 1	138199	70	70	
GCF_023147725.1	ASM2314772v1	Spodoptera eridania nucleopolyhedrovirus	137373	151	151	
GCF_008777455.1	ASM877745v1	Bovine herpesvirus type 1.1	134896	74	74	
GCF_021461785.1	ASM2146178v1	Caprine alphaherpesvirus 1	134617	69	69	
GCF_022544665.1	ASM2254466v1	Streptomyces phage Tomas	134464	283	237	
GCF_027940825.1	ASM2794082v1	Colobine gammaherpesvirus 1	133999	78	78	
GCF_014337465.1	ASM1433746v1	Streptomyces phage Coruscant	133697	290	248	
GCF_023156315.1	ASM2315631v1	Crangon crangon nudivirus	132068	106	106	
GCF_021461835.1	ASM2146183v1	Bovine alphaherpesvirus 2	131245	76	75	
GCF_018987215.1	ASM1898721v1	Streptomyces phage TunaTartare	130929	267	234	
GCF_014518015.1	ASM1451801v1	Streptomyces phage Faust	130666	273	239	
GCF_029884915.1	ASM2988491v1	Chrysodeixis includens nucleopolyhedrovirus	130540	126	126	
GCF_023124365.1	ASM2312436v1	Rachiplusia nu nucleopolyhedrovirus	128587	134	134	
GCF_011756685.1	ASM1175668v1	Streptomyces phage Muntaha	127551	268	233	
GCF_027941015.1	ASM2794101v1	Macropodid alphaherpesvirus 4	127227	68	68	
GCF_011756665.1	ASM1175666v1	Streptomyces phage Wakanda	126614	263	228	
GCF_029886535.1	ASM2988653v1	Erannis ankeraria nucleopolyhedrovirus	125247	131	131	
GCF_019089895.1	ASM1908989v1	Maribacter phage Molly_1	124695	200	200	
GCF_019089945.1	ASM1908994v1	Maribacter phage Colly_1	124169	193	193	
GCF_023124475.1	ASM2312447v1	Dione juno nucleopolyhedrovirus	122075	153	153	
GCF_007051585.1	ASM705158v1	Gordonia phage Phendrix	121350	235	205	
GCF_029884945.1	SPAdes	Psittacid alphaherpesvirus 5	120899	81	81	
GCF_023148945.1	IOZ_MaspGV_0.7.4	Matsumuraeses phaseoli granulovirus	116875	128	128	
GCF_006457685.1	ASM645768v1	Lumpfish ranavirus	116726	97	97	
GCF_009662655.1	ASM966265v1	Gordonia phage Sixama	115454	199	171	
GCF_023123105.1	ASM2312310v1	Hyphantria cunea granulovirus	114825	132	132	
GCF_009744715.1	ASM974471v1	Gordonia phage Forza	114174	193	164	
GCF_023156345.1	ASM2315634v1	Carcinus maenas nudivirus	113840	99	99	
GCF_008001325.1	ASM800132v1	Arthrobacter phage Qui	113685	247	247	
GCF_002957535.1	ASM295753v1	Vibrio phage Vp_R1	112127	147	147	
GCF_001567015.2	ViralProj312792	Cnaphalocrocis medinalis granulovirus	111248	120	120	
GCF_021864135.1	ASM2186413v1	Salmonella phage vB_STy-RN29	110591	181	162	
GCF_021090635.1	ASM2109063v1	uncultured phage cr16_1	104752	93	91	
GCF_021090285.1	ASM2109028v1	uncultured phage cr18_1	104564	122	100	
GCF_021090625.1	ASM2109062v1	uncultured phage cr29_1	104085	89	83	
GCF_002605765.1	ASM260576v1	Gordonia phage GMA2	103424	142	126	
GCF_021090615.1	ASM2109061v1	uncultured phage cr82_1	102100	91	89	
GCF_021090605.1	ASM2109060v1	uncultured phage cr150_1	101130	99	95	
GCF_021090205.1	ASM2109020v1	uncultured phage cr149_1	100971	103	100	
GCF_021090365.1	ASM2109036v1	uncultured phage cr105_1	100650	99	97	
GCF_021090215.1	ASM2109021v1	uncultured phage cr151_1	100314	131	111	
GCF_021090375.1	ASM2109037v1	uncultured phage cr19_1	100255	96	93	
GCF_021090185.1	ASM2109018v1	uncultured phage cr30_1	99984	100	99	
GCF_021090255.1	ASM2109025v1	uncultured phage cr77_1	99704	100	99	
GCF_021090345.1	ASM2109034v1	uncultured phage cr61_1	98573	84	79	
GCF_021090655.1	ASM2109065v1	uncultured phage cr23_1	98182	103	100	
GCF_021090245.1	ASM2109024v1	uncultured phage cr99_1	98001	94	94	
GCF_021090645.1	ASM2109064v1	uncultured phage cr35_1	97706	93	92	
GCF_021090275.1	ASM2109027v1	uncultured phage cr54_1	97536	82	82	
GCF_009734245.1	ASM973424v1	Carjivirus communis	97065	88	88	
GCF_021090355.1	ASM2109035v1	uncultured phage cr12_1	96892	96	95	
GCF_021090225.1	ASM2109022v1	uncultured phage cr36_1	96466	82	82	
GCF_021090325.1	ASM2109032v1	uncultured phage cr2_1	95815	88	88	
GCF_021090305.1	ASM2109030v1	uncultured phage cr25_1	94533	89	89	
GCF_021090265.1	ASM2109026v1	uncultured phage cr44_1	93564	114	93	
GCF_021090235.1	ASM2109023v1	uncultured phage cr91_1	93391	90	90	
GCF_021090175.1	ASM2109017v1	uncultured phage cr49_1	92367	95	91	
GCF_021090295.1	ASM2109029v1	uncultured phage cr9_1	92361	89	89	
GCF_029887325.1	ASM2988732v1	Poseidoniales virus YSH_150918	92274	129	129	
GCF_021090195.1	ASM2109019v1	uncultured phage cr123_1	92241	86	86	
GCF_021090335.1	ASM2109033v1	uncultured phage cr13_1	92132	87	84	
GCF_021090315.1	ASM2109031v1	uncultured phage cr17_1	91714	89	86	
GCF_009688585.1	ASM968858v1	Gordonia phage Chidiebere	91072	129	129	
GCF_003722595.1	ASM372259v1	Brevibacterium phage Cantare	90743	130	130	
GCF_006535895.1	ASM653589v1	Gordonia phage Mollymur	90669	115	113	
GCF_014183345.1	ASM1418334v1	Proteus phage Vb_PmiP-P59	90187	136	136	
GCF_002997395.1	ASM299739v1	Salmonella phage SE131	89910	154	147	
GCF_020495975.1	ASM2049597v1	Gordonia phage ChisanaKitsune	88657	126	126	
GCF_021536585.1	ASM2153658v1	Aeromonas phage BUCT695	86289	134	127	
GCF_021864095.1	ASM2186409v1	Salmonella phage vB_SAg-RPN213	86124	153	131	
GCF_003570825.1	ASM357082v1	Bacillus phage v_B-Bak10	82931	117	115	
GCF_018987205.1	ASM1898720v1	Streptomyces phage KimJongPhill	82521	118	115	
GCF_008704815.1	ASM870481v1	Streptomyces phage Zuko	82302	117	115	
GCF_002603345.1	ASM260334v1	Bacillus phage Basilisk	82008	140	138	
GCF_021351935.1	ASM2135193v1	Bacillus phage BCPST	81528	116	114	
GCF_004015605.1	ASM401560v1	Bacillus phage pW4	80919	108	106	
GCF_002606965.1	ASM260696v1	Bacillus phage PBC4	80647	125	123	
GCF_027090305.1	ASM2709030v1	Methanophagales virus GBV302	80551	108	108	
GCF_008214965.1	ASM821496v1	Escherichia phage Paul	79429	134	133	
GCF_019089785.1	ASM1908978v1	Tenacibaculum phage Gundel_1	78833	127	117	
GCF_016835375.1	ASM1683537v1	Rhizobium phage RHph_Y2_6	78314	103	101	
GCF_016835845.1	ASM1683584v1	Rhizobium phage RHph_N38	78126	103	101	
GCF_013306715.1	ASM1330671v1	Escherichia phage EK010	78078	117	116	
GCF_016836155.1	ASM1683615v1	Rhizobium phage RHph_Y38	77869	104	102	
GCF_020492075.1	ASM2049207v1	Rhizobium phage RHEph22	77655	101	99	
GCF_020869045.1	ASM2086904v1	Escherichia phage vB_EcoP-CHD5UKE1	77359	153	152	
GCF_005892105.1	ASM589210v1	Escherichia phage vB_EcoP_WFI101126	77307	136	135	
GCF_017654265.1	ASM1765426v1	Escherichia phage MN03	77187	125	124	
GCF_020492045.1	ASM2049204v1	Rhizobium phage RHEph16	77178	96	94	
GCF_016835625.1	ASM1683562v1	Rhizobium phage RHph_I1_6	77174	102	99	
GCF_008375535.1	ASM837553v1	Shigella phage SGF2	76964	119	118	
GCF_017654285.1	ASM1765428v1	Escherichia phage MN05	76899	127	126	
GCF_014337565.1	ASM1433756v1	Gordonia phage Rabbitrun	76821	138	132	
GCF_020497995.1	ASM2049799v1	Haloarcula virus HJTV-2	76821	143	140	
GCF_020498045.1	ASM2049804v1	Halorubrum tailed virus 10	76759	130	125	
GCF_020684915.1	ASM2068491v1	Gordonia phage Kudefre	76731	146	140	
GCF_019466445.1	ASM1946644v1	Escherichia phage IME267	76631	121	120	
GCF_019095815.1	ASM1909581v1	Escherichia phage vB_EcoP_SU7	76626	119	118	
GCF_003288715.1	ASM328871v1	Escherichia phage EP335	76622	126	125	
GCF_020492005.1	F34_X2_28B	Rhizobium phage RHph_X2_28B	76359	106	102	
GCF_003722935.1	ASM372293v1	Gordonia phage Octobien14	76358	149	143	
GCF_016811475.1	ASM1681147v1	Klebsiella phage vB_KpP_FBKp27	76339	99	93	
GCF_020484305.1	ASM2048430v1	Stenotrophomonas phage Piffle	76332	96	90	
GCF_021029385.1	ASM2102938v1	Kosakonia phage Kc283	76232	94	91	
GCF_014840125.1	ASM1484012v1	Escherichia phage vB_EcoP_EcoN5	76083	128	127	
GCF_014517895.1	ASM1451789v1	Gordonia Phage Sephiroth	76058	137	131	
GCF_007310815.1	ASM731081v1	Gordonia phage Trax	75943	135	128	
GCF_020489665.1	ASM2048966v1	Dinoroseobacter phage vB_DshP-R7L	75871	85	83	
GCF_003442895.1	ASM344289v1	Gordonia phage Neville	75813	136	129	
GCF_020523055.1	ASM2052305v1	Escherichia phage vB_EcoP_IMEP8	75809	122	121	
GCF_020868945.1	ASM2086894v1	Escherichia phage vB_EcoP-101114UKE3	75747	146	145	
GCF_013306725.1	ASM1330672v1	Escherichia phage O18-011	75646	121	120	
GCF_009672465.1	ASM967246v1	Gordonia phage Syleon	75606	144	138	
GCF_020498675.1	ASM2049867v1	Halorubrum sodomense tailed virus 4	75181	121	118	
GCF_016467535.1	ASM1646753v1	Cronobacter phage A24	75106	111	108	
GCF_009744855.1	ASM974485v2	Escherichia phage ES17	75007	123	123	
GCF_020484155.1	ASM2048415v1	Stenotrophomonas phage Paxi	74962	94	89	
GCF_020484275.1	ASM2048427v1	Stenotrophomonas phage Philippe	74717	101	95	
GCF_003575565.1	ASM357556v1	Escherichia phage PGN829.1	74437	84	84	
GCF_003143395.1	ASM314339v1	Pseudomonas phage 98PfluR60PP	74361	92	92	
GCF_012294165.1	Serpecor1_SC1	Halorubrum virus Serpecor1	74196	131	126	
GCF_015767195.1	ASM1576719v1	Pectobacterium phage Possum	73752	104	102	
GCF_022516425.1	ASM2251642v1	Pseudomonas phage PAP02	73345	83	81	
GCF_021354665.1	ASM2135466v1	Pseudomonas phage VB_PaeP_VL1	73308	92	92	
GCF_020475385.1	ASM2047538v1	Escherichia phage U1G	73275	91	91	
GCF_020475525.1	ASM2047552v1	Vibrio phage BUCT194	73099	108	106	
GCF_022213615.1	ASM2221361v1	Stenotrophomonas phage C121	73045	98	98	
GCF_020906675.1	ASM2090667v1	Pseudomonas phage vB_PaeP_TUMS_P121	73001	91	91	
GCF_019089635.1	ASM1908963v1	Cellulophaga phage Calle_1	72979	107	85	
GCF_013426605.1	ASM1342660v1	Escherichia phage vB_EcoP_SP5M	72896	89	88	
GCF_002611145.1	ASM261114v1	Pseudomonas phage vB_Pae575P-3	72728	92	92	
GCF_020882845.1	ASM2088284v1	Shigella virus Moo19	72458	91	86	
GCF_002956185.1	ASM295618v1	Escherichia phage St11Ph5	72444	90	89	
GCF_019095225.1	ASM1909522v1	Escherichia phage vB_EcoP-ZQ2	72231	85	85	
GCF_027090355.1	ASM2709035v1	Methanophagales virus GBV301	71795	104	104	
GCF_009860255.1	ASM986025v1	Mycobacterium phage Onyinye	71419	107	107	
GCF_027090575.1	ASM2709057v1	Methanophagales virus PBV299	71075	93	93	
GCF_020523195.1	ASM2052319v1	Alcaligenes phage vB_Af_QDWS595	70466	74	74	
GCF_003307555.1	ASM330755v1	Escherichia phage phi G17	68270	78	78	
GCF_019095585.1	ASM1909558v1	Arthrobacter phage SilentRX	65232	102	102	
GCF_016455805.1	ASM1645580v1	Arthrobacter phage Wollypog	63364	92	92	
GCF_020498025.1	ASM2049802v1	Haloarcula tailed virus 2	63301	130	127	
GCF_002624985.1	ASM262498v1	Pseudomonas phage Skulduggery	62978	72	72	
GCF_013401575.1	ASM1340157v1	Stenotrophomonas phage vB_SmaS_BUCT548	62354	103	102	
GCF_020498605.1	ASM2049860v1	Halorubrum tailed virus 25	61934	112	112	
GCF_019466475.1	ASM1946647v1	Stenotrophomonas phage BUCT627	61860	100	98	1
GCF_016865825.1	ASM1686582v1	Pseudomonas phage Itty13	61818	84	84	
GCF_019466465.1	ASM1946646v1	Stenotrophomonas phage BUCT626	61662	99	98	
GCF_020484405.1	ASM2048440v1	Stenotrophomonas phage Siara	61427	103	100	
GCF_003345005.1	ASM334500v1	Erwinia phage Pavtok	61401	62	62	
GCF_018642095.1	ASM1864209v1	Flavobacterium phage vB_FspP_elemoC_14-1A	61048	91	90	
GCF_002617065.1	ASM261706v1	Mycobacterium phage Taptic	60973	93	92	
GCF_018642055.1	ASM1864205v1	Flavobacterium phage vB_FspP_elemoB_14-3B	60925	94	93	
GCF_003013935.1	ASM301393v1	Mycobacterium phage Jeon	60908	86	85	
GCF_016653945.1	ASM1665394v1	Stenotrophomonas phage Salva	60789	103	102	
GCF_016836235.1	ASM1683623v1	Pseudomonas phage Iggy	60628	90	90	
GCF_006384815.1	ASM638481v1	Pseudomonas virus PBPA162	60626	83	83	
GCF_002617805.1	ASM261780v1	Ochrobactrum phage POI1126	59782	78	78	
GCF_021355205.1	ASM2135520v1	Burkholderia phage BgManors32	59762	87	87	
GCF_000846225.2	ViralProj14394	Mycobacterium phage Che8	59472	115	115	
GCF_002628385.1	ASM262838v1	Arthrobacter phage Tribby	59084	102	102	
GCF_002628265.1	ASM262826v1	Agrobacterium phage Atu_ph08	58966	75	75	
GCF_002625585.1	ASM262558v1	Arthrobacter phage Cheesy	58739	101	101	
GCF_006864265.1	ASM686426v1	Arthrobacter phage Xenomorph	58690	95	95	
GCF_007311655.1	ASM731165v1	Arthrobacter phage JEGGS	58287	100	100	
GCF_002628345.1	ASM262834v1	Arthrobacter phage Heisenberger	58208	100	100	
GCF_002628285.1	ASM262828v1	Arthrobacter phage Arcadia	58059	97	97	
GCF_015709935.1	ASM1570993v1	Providencia phage PSTCR7	57986	84	84	
GCF_020493175.1	ASM2049317v1	Arthrobacter phage Kardesai	57866	100	100	
GCF_003364575.1	ASM336457v1	Arthrobacter phage KeaneyLin	57847	95	95	
GCF_020490465.1	ASM2049046v1	Arthrobacter phage Dynamite	57846	99	99	
GCF_013388015.1	ASM1338801v1	Gordonia phage Clawz	57664	89	89	
GCF_023032725.1	ASM2303272v1	Aeromonas phage ZPAH14	57429	71	70	
GCF_002628305.1	ASM262830v1	Arthrobacter phage Correa	57401	96	96	
GCF_015502245.1	ASM1550224v1	Providencia phage PSTCR4	57214	77	77	
GCF_020474985.1	ASM2047498v1	Carnobacterium phage cd2	57099	110	110	
GCF_023369765.1	ASM2336976v1	Klebsiella phage vB_KpnS-Carvaje	56858	100	99	
GCF_020475005.1	ASM2047500v1	Carnobacterium phage cd4	56744	109	109	
GCF_020498625.1	ASM2049862v1	Halorubrum tailed virus 27	56593	114	114	
GCF_003723175.1	ASM372317v1	Arthrobacter phage Seahorse	56481	101	100	
GCF_014892895.1	ASM1489289v1	Gordonia phage Bosnia	54546	82	82	
GCF_003692575.1	ASM369257v1	Arthrobacter phage Richie	53867	99	98	
GCF_015045105.1	ASM1504510v1	Gordonia phage Herod	53826	84	84	
GCF_014338095.1	ASM1433809v1	Gordonia phage Ohgeesy	53473	85	85	
GCF_006530195.1	ASM653019v1	Gordonia phage ThankyouJordi	53453	83	83	
GCF_019089955.1	ASM1908995v1	Cellulophaga phage Nekkels_1	53385	93	93	
GCF_003723095.1	ASM372309v1	Arthrobacter phage Isolde	53234	98	96	
GCF_002609045.1	ASM260904v1	Gordonia phage Howe	53182	80	80	
GCF_009187385.1	ASM918738v1	Gordonia phage Mcklovin	53155	77	77	
GCF_019466305.1	ASM1946630v1	Gordonia phage Agueybana	52807	85	85	
GCF_019095275.1	ASM1909527v1	Gordonia phage BoyNamedSue	52698	82	82	
GCF_003692195.1	ASM369219v1	Arthrobacter phage Faja	52490	96	95	
GCF_007311035.1	ASM731103v1	Gordonia phage Sidious	51789	79	79	
GCF_006864115.1	ASM686411v1	Gordonia phage Madeline	51668	76	75	
GCF_003868375.1	ASM386837v1	Gordonia phage Maridalia	51628	83	83	
GCF_003723075.1	ASM372307v1	Arthrobacter phage Hestia	51476	91	89	
GCF_014337745.1	ASM1433774v1	Gordonia phage Bunnybear	51268	78	78	
